,ParticleId,Result:0,Result:1,Result:2
1,64,0.473475,0.417919,0.817989
11,154,0.382865,0.244921,0.276602
19,249,0.485796,0.467338,0.826216
57,586,0.186212,0.90075,0.420229
378,1051,0.654867,0.53425,0.181323
462,1099,0.0671779,0.686821,0.484905
527,1124,0.827694,0.385656,0.826701
575,1125,0.892377,0.319245,0.778159
623,1127,0.880138,0.333974,0.81135
668,1128,0.79823,0.761386,0.923668
715,1129,0.83388,0.474547,0.890183
766,1130,0.819722,0.584348,0.918753
807,1131,0.815623,0.642192,0.927106
850,1135,0.768903,0.932681,0.818283
889,1136,0.715842,0.818267,0.323183
948,1147,0.348063,0.757286,0.297924
1004,1168,0.348753,0.615653,0.782157
1175,1179,0.627598,0.817589,0.300167
1220,1184,0.718044,0.654557,0.191797
1288,1213,0.772731,0.289085,0.593765
1375,1230,0.107194,0.332941,0.120376
1474,1238,0.805078,0.483512,0.883275
1589,1269,0.639076,0.204779,0.63341
1686,1296,0.905785,0.520555,0.941645
1787,1353,0.685627,0.487056,0.159287
1880,1403,0.0716667,0.318727,0.29808
1980,1448,0.915119,0.324556,0.292403
2067,1498,0.245038,0.561232,0.0555559
2159,1506,0.562876,0.226784,0.410568
2206,1545,0.720991,0.468115,0.224708
2318,1554,0.56625,0.791634,0.22715
2443,1689,0.511846,0.374068,0.190452
2506,1737,0.764826,0.488556,0.934306
2624,1786,0.737009,0.258225,0.277041
2681,1788,0.20414,0.473033,0.167708
2788,1834,0.113638,0.935594,0.631962
2825,1884,0.729572,0.642853,0.94067
2874,1885,0.899607,0.283074,0.520264
2931,1886,0.750798,0.430876,0.246263
2971,1919,0.443698,0.512031,0.111136
3016,1933,0.0713605,0.342538,0.194308
3069,1936,0.929635,0.282863,0.593154
3123,1985,0.773325,0.531438,0.232864
3170,1986,0.894388,0.39926,0.871119
3215,1987,0.909286,0.331486,0.817643
3408,2158,0.42434,0.787847,0.242105
4478,2785,0.056985,0.280554,0.125344
5909,3313,0.0924348,0.30628,0.0737596
6703,3525,0.907808,0.89961,0.417618
6756,3526,0.530178,0.590849,0.816244
6806,3529,0.0627159,0.341213,0.426406
6858,3530,0.103942,0.314515,0.169003
6911,3531,0.0697419,0.314426,0.36448
6954,3532,0.70997,0.85133,0.53317
6997,3535,0.681732,0.766887,0.852244
7035,3536,0.673604,0.834824,0.825967
7099,3570,0.749388,0.891121,0.853742
7140,3571,0.783884,0.457223,0.848998
7194,3574,0.652324,0.686705,0.784309
7265,3575,0.281119,0.432512,0.552457
7329,3576,0.409595,0.431333,0.778978
7384,3580,0.105675,0.802088,0.308679
7447,3583,0.734394,0.727189,0.22417
7490,3584,0.0746708,0.345582,0.383757
7528,3586,0.700709,0.831644,0.850356
7575,3587,0.75696,0.822802,0.36806
7626,3599,0.563748,0.783293,0.66714
7679,3614,0.382905,0.768603,0.146859
7725,3615,0.398024,0.683732,0.112125
7762,3616,0.799539,0.471842,0.868774
7839,3630,0.399416,0.448118,0.78426
7899,3631,0.117153,0.744115,0.216319
7956,3632,0.0364186,0.364395,0.350696
8017,3634,0.121249,0.365243,0.253166
8064,3636,0.609875,0.557268,0.179417
8115,3648,0.390985,0.641075,0.0109816
8157,3661,0.360077,0.640199,0.128059
8283,3671,0.0475774,0.613458,0.519799
8333,3672,0.0707885,0.806616,0.452026
