,ParticleId,Result:0,Result:1,Result:2
4,64,0.480926,0.144349,0.441797
90,154,0.53986,0.11041,0.438508
352,249,0.510925,0.131947,0.429265
794,586,0.194343,0.366834,0.585255
1753,992,0.226963,0.380889,0.00219921
2322,1051,0.499996,0.127723,0.151829
2354,1052,0.724299,0.0881369,0.0853901
2527,1099,0.147518,0.520862,0.224491
2565,1101,0.165711,0.700592,0.304101
2654,1123,0.242718,0.774384,0.419125
2705,1124,0.129843,0.513687,0.5712
2754,1125,0.155087,0.783699,0.605183
2794,1127,0.153389,0.808911,0.614987
2831,1128,0.179824,0.822109,0.578235
2871,1129,0.153488,0.806058,0.601264
2911,1130,0.132798,0.770689,0.597232
2946,1131,0.124694,0.735337,0.591144
2987,1132,0.122625,0.657402,0.549409
3056,1134,0.799672,0.0889319,0.0918406
3105,1135,0.126165,0.409764,0.518468
3140,1136,0.796304,0.240416,0.333661
3251,1147,0.140561,0.801961,0.449651
3296,1150,0.124823,0.637849,0.365823
3374,1168,0.128742,0.668887,0.694098
3419,1169,0.208907,0.840847,0.551177
3454,1170,0.20582,0.849888,0.561087
3485,1172,0.913712,0.128401,0.165496
3639,1179,0.0657394,0.640188,0.580544
3677,1180,0.228742,0.586016,0.160547
3708,1182,0.182078,0.798652,0.49089
3741,1183,0.115171,0.602658,0.526976
3773,1184,0.444427,0.126888,0.166547
3808,1185,0.763642,0.171085,0.0471471
3907,1213,0.114948,0.594752,0.62302
3943,1215,0.0830162,0.396925,0.50148
4229,1230,0.117389,0.288213,0.429002
4263,1231,0.100519,0.511436,0.524087
4309,1233,0.126186,0.56461,0.266608
4345,1234,0.179893,0.611149,0.248069
4379,1235,0.150617,0.553129,0.294756
4432,1238,0.112655,0.451612,0.563774
4528,1262,0.88102,0.144784,0.0864546
4565,1263,0.846924,0.0569979,0.182398
4722,1269,0.218613,0.907229,0.457989
4788,1272,0.255085,0.796884,0.243952
110,1288,0.180619,0.678204,0.259533
152,1289,0.27637,0.288756,0.155832
208,1296,0.588189,0.540299,0.745542
287,1307,0.225765,0.870292,0.648316
351,1309,0.0713381,0.50939,0.554584
592,1317,0.232347,0.238878,0.12092
649,1319,0.28103,0.821738,0.237519
701,1320,0.204725,0.702164,0.232024
756,1344,0.189143,0.778831,0.317918
835,1353,0.399398,0.0775219,0.394878
926,1356,0.0794787,0.576597,0.555771
976,1360,0.268805,0.998788,0.763614
1085,1365,0.258255,0.196985,0.126915
1137,1392,0.389102,0.418117,0.200509
1219,1401,0.206734,0.837308,0.552308
1318,1403,0.150507,0.811987,0.512873
1396,1408,0.310668,0.937173,0.927183
1478,1413,0.216631,0.851702,0.320617
1580,1448,0.458818,0.179995,0.337484
1616,1450,0.543861,0.120697,0.151108
1661,1451,0.0855188,0.629919,0.553615
1825,1459,0.311474,0.68254,0.963009
1868,1488,0.271587,0.275461,0.166319
1933,1497,0.426299,0.513138,0.804406
1982,1498,0.153346,0.803511,0.508305
2044,1499,0.291911,0.0892583,0.21555
2123,1503,0.316559,0.768894,0.0122868
2165,1504,0.351213,0.717923,0.00676247
2228,1506,0.900015,0.707039,0.216127
2287,1545,0.292218,0.765187,0.84074
2343,1546,0.171109,0.829121,0.509563
2388,1547,0.0791143,0.254832,0.447674
2442,1551,0.310478,0.771046,0.0119879
2482,1552,0.408827,0.582542,0.00219536
2536,1554,0.220335,0.943843,0.719401
2575,1584,0.265569,0.269469,0.168467
2620,1594,0.0875135,0.600944,0.550119
2659,1595,0.148779,0.816708,0.522619
2744,1600,0.320181,0.773558,0.0124092
2848,1640,0.183883,0.538343,0.438519
2892,1642,0.72443,0.27804,0.119084
2929,1643,0.190383,0.883118,0.623093
2998,1680,0.134733,0.622869,0.339378
3064,1689,0.232439,0.638901,0.84891
3108,1690,0.151715,0.828163,0.596574
3138,1691,0.193848,0.878665,0.580729
3171,1692,0.143496,0.806402,0.519578
3210,1728,0.39771,0.442746,0.211937
3268,1737,0.448542,0.495404,0.895015
3300,1739,0.667914,0.205147,0.119063
3343,1740,0.144287,0.126896,0.319873
3479,1785,0.542502,0.280527,0.0816041
3531,1786,0.102112,0.478818,0.66142
3572,1788,0.0984315,0.235787,0.411929
3616,1789,0.355497,0.0870232,0.195738
3654,1790,0.74577,0.0295542,0.183615
3726,1834,0.34021,0.838008,0.743819
3762,1837,0.148583,0.808544,0.554159
3799,1872,0.853496,0.302783,0.529779
3850,1884,0.443408,0.176928,0.315163
3888,1885,0.124121,0.744165,0.622111
3930,1886,0.286281,0.77616,0.825468
3966,1887,0.703047,0.24407,0.12097
