,ParticleId,Result:0,Result:1,Result:2
6,64,0.681244,0.708972,0.122242
30,154,0.824344,0.421522,0.215494
62,249,0.772732,0.910632,0.466457
161,586,0.261288,0.554309,0.67548
431,1047,0.0790115,0.735329,0.0883951
466,1048,0.159341,0.846473,0.0557348
519,1051,0.737121,0.171062,0.236967
566,1097,0.191687,0.114012,0.931145
642,1124,0.614103,0.26745,0.370155
826,1130,0.903561,0.681074,0.333072
891,1136,0.151832,0.559588,0.201333
921,1146,0.127898,0.79723,0.0542235
971,1147,0.181735,0.334084,0.752304
1019,1168,0.854482,0.95262,0.512679
1086,1179,0.329364,0.872605,0.371118
1141,1184,0.436224,0.821224,0.153588
1164,1213,0.582781,0.821269,0.720105
1218,1238,0.511306,0.721539,0.566629
1257,1249,0.113558,0.813015,0.0722809
1313,1269,0.933152,0.269695,0.621364
1342,1297,0.118427,0.804114,0.0631297
1411,1353,0.375566,0.813329,0.525737
1528,1448,0.65907,0.530836,0.578865
1562,1498,0.493213,0.5978,0.781094
1615,1506,0.0775859,0.666786,0.1769
1666,1545,0.167123,0.84884,0.247106
1770,1554,0.464673,0.858948,0.19836
1856,1689,0.827153,0.31267,0.104363
1990,1786,0.888104,0.265059,0.8907
2045,1788,0.706512,0.570076,0.089162
2121,1885,0.620269,0.20687,0.417936
2169,1919,0.263778,0.193298,0.580603
2219,1936,0.693914,0.510676,0.492299
2265,1985,0.289203,0.501968,0.0901225
2316,1986,0.83213,0.666727,0.422868
2361,1987,0.774009,0.683271,0.425507
2429,2158,0.438184,0.902175,0.387017
2576,2300,0.0771282,0.920442,0.197377
2736,2641,0.807882,0.177528,0.0639738
2887,2738,0.886027,0.0532098,0.304039
2941,2739,0.772674,0.256436,0.0377033
2991,2780,0.10261,0.084098,0.781018
3053,2786,0.866705,0.0778967,0.163217
3103,2829,0.0490751,0.321224,0.3103
3154,2833,0.23655,0.136069,0.952687
3234,2878,0.0674246,0.616494,0.13727
3553,3070,0.108265,0.807615,0.0783246
3588,3071,0.0698817,0.120617,0.540903
3692,3120,0.061036,0.151426,0.475308
3733,3121,0.222963,0.131697,0.947522
3865,3167,0.0819341,0.719073,0.0917734
3899,3169,0.0656028,0.608602,0.136078
4010,3215,0.0856227,0.0850261,0.664653
4068,3217,0.176675,0.824929,0.048764
4180,3260,0.720849,0.180025,0.945516
4218,3261,0.18876,0.831404,0.0488888
4242,3263,0.0879314,0.744882,0.0830556
4287,3264,0.0530199,0.198342,0.413074
4310,3265,0.0538147,0.200093,0.413201
4434,3306,0.122063,0.818836,0.0755799
4478,3308,0.208302,0.130902,0.941437
4511,3310,0.126499,0.813645,0.0657728
4560,3311,0.0510163,0.450907,0.223009
4598,3312,0.205883,0.809094,0.032894
4703,3356,0.10431,0.078613,0.78822
4802,3358,0.117334,0.802264,0.0695498
4919,3361,0.0981538,0.0798017,0.750046
5007,3401,0.103534,0.0758834,0.783936
5045,3402,0.0705918,0.658979,0.111508
5075,3403,0.17401,0.824536,0.047678
5104,3404,0.196414,0.814815,0.037726
5138,3405,0.201745,0.813039,0.0361689
5174,3406,0.0693659,0.636351,0.12469
5209,3408,0.310147,0.166522,0.969989
5251,3409,0.0598054,0.172661,0.450972
5284,3410,0.0910446,0.0833985,0.690612
5332,3449,0.13328,0.820674,0.0676665
5369,3450,0.0930129,0.759941,0.083342
5391,3451,0.134818,0.822718,0.0688533
5413,3452,0.134128,0.822108,0.0692616
5432,3453,0.0925085,0.757175,0.0845268
5470,3454,0.0743387,0.665383,0.113851
5494,3455,0.0832988,0.715926,0.0964554
5529,3456,0.0645495,0.572182,0.158133
5555,3457,0.0779448,0.663113,0.1157
5590,3458,0.328433,0.169536,0.970356
5618,3503,0.108755,0.779427,0.0809639
5658,3504,0.0540751,0.251812,0.365965
5711,3526,0.635885,0.57269,0.0792656
5772,3529,0.74888,0.27183,0.22547
5819,3532,0.365969,0.556173,0.122348
5997,3571,0.463297,0.248682,0.311482
6055,3574,0.444924,0.110379,0.822327
6111,3575,0.545432,0.835774,0.0968808
6146,3576,0.658458,0.762117,0.915694
6222,3583,0.111097,0.459457,0.310127
6275,3586,0.708433,0.551704,0.315311
6323,3587,0.224062,0.410055,0.193076
6363,3599,0.471072,0.0704921,0.462158
6416,3614,0.515307,0.328295,0.211948
6466,3615,0.23636,0.282742,0.386217
6566,3630,0.902954,0.810896,0.630194
6610,3631,0.0719021,0.626899,0.572797
6659,3634,0.654225,0.560682,0.902516
6718,3636,0.77156,0.145821,0.324653
6772,3648,0.65414,0.100735,0.208436
6822,3661,0.521821,0.279522,0.851679
6898,3673,0.939704,0.240214,0.907021
6965,3678,0.332502,0.583309,0.765264
7005,3682,0.143486,0.625053,0.756463
7054,3687,0.720212,0.536161,0.404506
7178,3755,0.149045,0.193672,0.501007
7259,3762,0.802895,0.673141,0.0908128
7327,3803,0.304066,0.403458,0.160227
7372,3849,0.712389,0.617395,0.479334
7413,3850,0.955184,0.540156,0.30208
7453,3860,0.32592,0.930798,0.216769
7506,3898,0.233154,0.104773,0.393441
7567,3900,0.346981,0.20223,0.593211
7620,3937,0.0956931,0.776067,0.257616
7657,3945,0.868731,0.552261,0.457006
7692,3948,0.466036,0.0537313,0.471871
7768,3995,0.748627,0.892277,0.455504
7822,3996,0.60274,0.861894,0.146165
7869,4033,0.632092,0.68008,0.557115
7919,4041,0.173793,0.609734,0.445034
7970,4043,0.132158,0.258619,0.368622
8025,4044,0.949009,0.224277,0.885008
8090,4081,0.449287,0.79754,0.13413
8139,4091,0.403692,0.122781,0.826856
8199,4138,0.741386,0.215796,0.857249
8251,4140,0.74636,0.0948958,0.662245
8291,4141,0.270157,0.0732146,0.384516
8337,4144,0.266103,0.106067,0.292138
8388,4193,0.302262,0.0576772,0.766183
8555,4273,0.941797,0.243354,0.735077
8608,4284,0.535525,0.683127,0.246378
8649,4286,0.165023,0.461726,0.499399
8702,4287,0.639592,0.860493,0.619194
8738,4293,0.349911,0.232933,0.0958866
8829,4369,0.946049,0.231739,0.712275
8886,4385,0.464737,0.487351,0.0431065
8940,4393,0.355903,0.871389,0.43289
9025,4435,0.609544,0.256894,0.064524
9076,4436,0.590012,0.291748,0.34002
9130,4437,0.659971,0.114493,0.424622
9178,4446,0.799009,0.102211,0.682575
9232,4453,0.499641,0.852154,0.171052
9283,4456,0.67608,0.191807,0.739703
9337,4458,0.638116,0.323957,0.657479
9394,4460,0.567955,0.278789,0.687474
9446,4462,0.215801,0.352405,0.668221
9504,4463,0.388529,0.493001,0.622616
9558,4484,0.205038,0.720348,0.444556
9612,4485,0.440333,0.0570409,0.673969
9672,4488,0.800425,0.397136,0.763212
9724,4489,0.960078,0.218308,0.857265
9771,4490,0.655856,0.248936,0.582115
9817,4491,0.722144,0.589733,0.289446
9854,4494,0.325393,0.135129,0.332346
9929,4495,0.65792,0.444802,0.108102
9982,4497,0.328655,0.741123,0.169329
10350,5080,0.885648,0.062333,0.47234
10546,5463,0.0627579,0.136295,0.506785
10713,5924,0.645595,0.378594,0.247378
10770,5925,0.518801,0.849741,0.44814
10814,5926,0.927327,0.603344,0.46277
10903,5929,0.317852,0.234878,0.516451
10954,5930,0.83483,0.331648,0.723989
11012,5931,0.201646,0.821881,0.350453
11062,5932,0.302935,0.248056,0.538771
11115,5935,0.775908,0.60855,0.449036
11169,5938,0.221572,0.164398,0.411596
11218,5939,0.217216,0.291663,0.29257
11267,5970,0.353932,0.164638,0.69308
11324,5976,0.128354,0.424736,0.439736
11393,5977,0.604987,0.460516,0.0527552
11427,5981,0.182777,0.239605,0.0719769
11472,5982,0.532206,0.301476,0.92871
11520,5983,0.355072,0.41179,0.734913
11557,5987,0.192887,0.298032,0.124143
11611,5989,0.398019,0.386441,0.128042
11650,5990,0.34192,0.261809,0.0579004
11693,5998,0.65552,0.471451,0.34722
11736,5999,0.700403,0.487501,0.480721
11801,6017,0.869852,0.529407,0.369277
11837,6019,0.407463,0.0657328,0.519514
11883,6024,0.361884,0.941585,0.324099
11938,6026,0.466294,0.117889,0.83322
11982,6027,0.689358,0.165067,0.0994887
12045,6028,0.79217,0.700928,0.108311
12095,6029,0.184902,0.307842,0.802072
12180,6037,0.117612,0.324045,0.472662
12222,6038,0.344904,0.923273,0.20006
12270,6039,0.743595,0.404504,0.88122
12315,6040,0.413599,0.860573,0.158433
12376,6045,0.801632,0.125601,0.283906
12428,6048,0.202148,0.409481,0.255812
12485,6061,0.310353,0.500823,0.613628
12537,6063,0.592171,0.159461,0.603119
12641,6076,0.918154,0.833583,0.741828
12693,6087,0.309923,0.896503,0.391182
12755,6089,0.697989,0.53941,0.898978
12814,6090,0.834986,0.258785,0.740188
12857,6091,0.37289,0.399931,0.135502
12915,6109,0.788935,0.546357,0.405597
12964,6117,0.145009,0.743895,0.337622
13030,6136,0.35877,0.443316,0.367048
13106,6145,0.616104,0.878363,0.545642
13157,6155,0.762511,0.587044,0.382932
13204,6157,0.765174,0.545227,0.362219
