,ParticleId,Result:0,Result:1,Result:2
3,64,0.235439,0.865304,0.312493
66,154,0.840107,0.25863,0.15095
122,249,0.266541,0.863917,0.354809
448,1035,0.0470128,0.164882,0.411807
572,1051,0.223472,0.400576,0.380175
644,1124,0.711111,0.713101,0.244473
674,1125,0.782654,0.76505,0.450793
710,1127,0.805037,0.757905,0.41694
785,1129,0.884723,0.707994,0.357244
812,1130,0.950566,0.607122,0.321853
877,1136,0.472206,0.151517,0.747505
933,1147,0.368642,0.405231,0.13207
969,1168,0.291669,0.807224,0.172207
1046,1179,0.343052,0.372107,0.835858
1080,1184,0.208849,0.3807,0.541777
1127,1213,0.535512,0.367025,0.0811482
1209,1238,0.827691,0.714596,0.306924
1266,1269,0.189992,0.460622,0.244264
1324,1353,0.645428,0.697556,0.114291
1453,1448,0.803303,0.769365,0.515335
1507,1498,0.0450726,0.601655,0.883678
1557,1506,0.282541,0.0993877,0.355481
1602,1545,0.421549,0.252883,0.82161
1693,1554,0.399551,0.356021,0.866343
1750,1689,0.658136,0.563506,0.0826652
1849,1786,0.770772,0.146567,0.249036
1888,1788,0.131659,0.708346,0.445107
1964,1885,0.622496,0.77759,0.278718
2001,1919,0.537887,0.619463,0.730165
2035,1936,0.792344,0.725066,0.553907
2061,1985,0.26621,0.236455,0.726198
2097,1986,0.922845,0.707938,0.420704
2132,1987,0.900737,0.724764,0.453865
2260,2158,0.746935,0.126706,0.448614
2700,2691,0.116956,0.442109,0.0819345
2890,2834,0.230039,0.583229,0.00463353
4035,3407,0.0757224,0.360609,0.149833
4275,3505,0.0564533,0.265601,0.243118
4324,3526,0.751825,0.197607,0.729169
4364,3529,0.239437,0.901028,0.553214
4387,3532,0.363887,0.768334,0.36041
4418,3535,0.811602,0.454097,0.284712
4452,3536,0.855561,0.407077,0.355378
4524,3571,0.638294,0.538183,0.215906
4557,3574,0.331132,0.444394,0.666206
4597,3575,0.206928,0.175992,0.863228
4633,3576,0.675766,0.326284,0.0649066
4725,3583,0.599017,0.138102,0.423437
4759,3586,0.887688,0.438934,0.352785
4801,3587,0.670511,0.263073,0.42858
4844,3599,0.369214,0.374799,0.397925
4882,3614,0.535808,0.835165,0.584693
4915,3615,0.475254,0.812535,0.57459
4953,3616,0.772613,0.721879,0.282578
5013,3630,0.844557,0.131976,0.751881
5058,3631,0.0148138,0.687898,0.324288
5107,3634,0.134987,0.849802,0.39892
5146,3636,0.251177,0.401932,0.30917
5184,3648,0.70457,0.285965,0.672809
5216,3661,0.287197,0.754786,0.428328
5303,3673,0.49228,0.796957,0.106291
5351,3678,0.0635136,0.512429,0.420426
5383,3682,0.0610042,0.626982,0.541206
5431,3687,0.886998,0.420294,0.373091
5522,3724,0.828606,0.455921,0.32366
5556,3755,0.278691,0.320699,0.647805
5622,3762,0.545323,0.389258,0.937943
5691,3803,0.618071,0.393958,0.296785
5752,3849,0.876271,0.480707,0.633736
5783,3850,0.964297,0.434521,0.471594
5827,3860,0.280915,0.234049,0.810919
5883,3898,0.364412,0.278263,0.429066
5919,3900,0.559893,0.678879,0.627848
5962,3937,0.529669,0.142039,0.259313
5996,3945,0.925266,0.566161,0.696852
6031,3948,0.329238,0.419878,0.583112
6072,3993,0.991093,0.540592,0.299657
6114,3995,0.191921,0.788086,0.214492
6155,3996,0.735317,0.111826,0.376434
6185,4033,0.871908,0.395865,0.410341
6215,4041,0.708874,0.13528,0.364674
6256,4043,0.466107,0.0740028,0.591734
6296,4044,0.490853,0.790522,0.106467
6331,4081,0.219771,0.386493,0.449298
6363,4091,0.328262,0.467345,0.65721
6392,4138,0.20091,0.238747,0.446313
6418,4140,0.662892,0.237656,0.686387
6452,4141,0.31965,0.256752,0.57847
6482,4144,0.343948,0.215125,0.63306
6511,4193,0.404214,0.181752,0.739932
6538,4235,0.857217,0.545998,0.666371
6566,4238,0.842827,0.471787,0.636994
6607,4273,0.393532,0.911958,0.243661
6648,4284,0.854874,0.386932,0.529084
6681,4286,0.658399,0.172696,0.21319
6717,4287,0.151613,0.669269,0.509776
6752,4293,0.521238,0.17841,0.464651
6789,4336,0.804562,0.706222,0.281443
6816,4369,0.382249,0.911315,0.244417
6859,4385,0.362603,0.260395,0.335289
6893,4393,0.611909,0.229307,0.833776
6919,4417,0.848263,0.535631,0.682667
6945,4435,0.487784,0.236702,0.290906
6977,4436,0.731185,0.696853,0.24639
7007,4437,0.60558,0.549932,0.210719
7054,4446,0.307634,0.155563,0.365611
7089,4453,0.544892,0.277039,0.864679
7118,4456,0.341284,0.806344,0.432865
7156,4458,0.811693,0.363149,0.375196
7189,4460,0.746332,0.429783,0.279427
7213,4462,0.461493,0.856228,0.345439
7250,4463,0.803771,0.313596,0.763502
7283,4484,0.725732,0.132128,0.398562
7313,4485,0.301553,0.607948,0.526647
7342,4488,0.220533,0.7084,0.326335
7382,4489,0.474573,0.845933,0.130698
7407,4490,0.723722,0.536879,0.232343
7435,4491,0.89773,0.439398,0.354416
7475,4494,0.544213,0.31411,0.703815
7503,4495,0.678328,0.307858,0.847002
7531,4497,0.239608,0.571468,0.496826
7630,4789,0.100665,0.49095,0.0889073
8097,5924,0.296508,0.753469,0.743012
8128,5925,0.45157,0.663831,0.808078
8154,5926,0.942694,0.664187,0.635051
8217,5929,0.550286,0.725229,0.586906
8255,5930,0.137299,0.311334,0.543385
8285,5931,0.44844,0.269689,0.840052
8318,5932,0.620085,0.646584,0.646569
8349,5935,0.884201,0.655584,0.616785
8377,5938,0.487225,0.435714,0.268958
8400,5939,0.557276,0.414166,0.281556
8434,5970,0.718488,0.43819,0.676355
8464,5976,0.664096,0.152477,0.294314
8506,5977,0.178205,0.114053,0.655218
8537,5981,0.30725,0.132524,0.169742
8571,5982,0.185601,0.190645,0.493053
8603,5983,0.325648,0.545482,0.155152
8636,5987,0.380591,0.222625,0.393705
8658,5989,0.466359,0.688712,0.224555
8686,5990,0.302429,0.155759,0.503031
8739,5998,0.800235,0.691278,0.613472
8765,5999,0.795971,0.739847,0.540502
8819,6017,0.930382,0.497543,0.63606
8849,6019,0.51134,0.369347,0.31558
8894,6024,0.368272,0.166596,0.863995
