,ParticleId,Result:0,Result:1,Result:2
5,64,0.767132,0.480936,0.189135
19,154,0.827386,0.534252,0.439779
30,249,0.926971,0.477328,0.0840402
85,586,0.525143,0.770513,0.570496
243,1037,0.169012,0.0564714,0.834976
281,1038,0.0908367,0.0883058,0.689862
325,1051,0.253455,0.505112,0.546783
362,1124,0.186532,0.370698,0.223117
428,1130,0.856889,0.676388,0.358912
486,1136,0.815217,0.442151,0.789185
533,1147,0.725281,0.797095,0.631181
603,1179,0.652905,0.225237,0.6289
649,1184,0.390923,0.328607,0.667832
697,1213,0.73772,0.441131,0.244373
756,1269,0.970875,0.715102,0.603916
816,1353,0.336168,0.519816,0.146047
841,1402,0.379128,0.459259,0.829208
930,1498,0.499092,0.480715,0.673586
1020,1553,0.383247,0.33971,0.834693
1058,1554,0.569428,0.120265,0.694838
1109,1788,0.941791,0.605847,0.667805
1155,1885,0.279833,0.566114,0.109182
1203,1919,0.470746,0.815666,0.0509326
1273,1985,0.47558,0.707493,0.742915
1363,2158,0.673566,0.130272,0.357171
1727,3526,0.725861,0.889397,0.345183
1782,3529,0.587384,0.237162,0.582434
1819,3532,0.319831,0.42934,0.650481
1858,3571,0.191644,0.582973,0.154453
1906,3574,0.765828,0.280872,0.125865
1946,3575,0.399201,0.200659,0.544448
2012,3583,0.978439,0.213394,0.620561
2065,3586,0.613916,0.72902,0.268138
2101,3587,0.4168,0.188238,0.884623
2138,3599,0.617652,0.0407571,0.479663
2185,3614,0.642174,0.129833,0.840829
2235,3615,0.857232,0.102803,0.297952
2284,3631,0.469949,0.70238,0.14585
2318,3636,0.216824,0.414952,0.461267
2361,3648,0.604992,0.948107,0.581604
2416,3661,0.3015,0.830219,0.515345
2488,3678,0.748023,0.71556,0.041158
2518,3682,0.302847,0.591371,0.791322
2566,3687,0.631906,0.604375,0.2322
2608,3755,0.7279,0.188011,0.386822
2657,3762,0.91856,0.469878,0.113817
2722,3803,0.478463,0.184879,0.88356
2782,3850,0.919859,0.59435,0.262588
2888,3898,0.239542,0.899664,0.199697
2926,3900,0.413202,0.0476306,0.558183
2965,3945,0.763768,0.699677,0.31866
3015,3948,0.342506,0.0442706,0.618217
3079,3995,0.826903,0.869512,0.296989
3129,3996,0.750614,0.795114,0.587403
3233,4041,0.513656,0.384318,0.240686
3287,4043,0.492085,0.244539,0.716127
3331,4081,0.375366,0.351091,0.659694
3381,4091,0.718474,0.332977,0.105324
3424,4138,0.910269,0.445296,0.709003
3469,4140,0.518144,0.915188,0.354445
3514,4141,0.102534,0.48384,0.300231
3547,4144,0.534108,0.0767801,0.234085
3580,4193,0.761247,0.34579,0.866057
3644,4286,0.601071,0.394882,0.253453
3702,4287,0.682633,0.735593,0.154718
3742,4293,0.758824,0.0341916,0.278144
3821,4385,0.661078,0.97286,0.476038
3867,4393,0.749912,0.114559,0.470181
3914,4417,0.503583,0.794443,0.376657
3962,4435,0.621959,0.943199,0.430995
3997,4436,0.185483,0.382122,0.225987
4046,4437,0.224498,0.621208,0.605578
4095,4446,0.407522,0.819711,0.444829
4134,4453,0.611533,0.103264,0.591308
4185,4456,0.360649,0.857211,0.613648
4220,4458,0.412987,0.259475,0.200571
4258,4460,0.307722,0.357787,0.160137
4310,4462,0.386347,0.846928,0.162259
4348,4463,0.236367,0.173166,0.438036
4398,4484,0.568021,0.285111,0.200731
4444,4485,0.402723,0.953238,0.579902
4492,4488,0.803529,0.587373,0.610193
4518,4490,0.238005,0.400572,0.175183
4548,4494,0.456933,0.0797416,0.231885
4603,4495,0.646957,0.393369,0.351689
4638,4497,0.37598,0.433449,0.701569
4964,5924,0.608303,0.119447,0.375236
5008,5925,0.382021,0.438836,0.272988
5049,5926,0.89083,0.613829,0.361408
5120,5929,0.248547,0.0981848,0.486666
5173,5930,0.852567,0.633731,0.63333
5225,5931,0.909859,0.256635,0.426329
5263,5932,0.127845,0.382651,0.362829
5326,5938,0.843424,0.0830364,0.188573
5373,5939,0.847825,0.159981,0.793345
5421,5970,0.259856,0.878363,0.573341
5464,5976,0.89099,0.3022,0.0920271
5510,5977,0.294226,0.333415,0.436188
5551,5981,0.260779,0.0363611,0.39452
5641,5983,0.204752,0.799481,0.38995
5688,5987,0.147095,0.68438,0.149501
5737,5989,0.251089,0.21862,0.658141
5786,5990,0.608737,0.0574239,0.822859
5847,6017,0.775196,0.691796,0.347285
5884,6019,0.356892,0.0397685,0.542951
5929,6024,0.843879,0.669568,0.789805
5980,6026,0.754495,0.291616,0.129709
6018,6027,0.560225,0.902938,0.550076
6073,6028,0.830327,0.826819,0.153062
6137,6029,0.797922,0.89181,0.561277
6188,6037,0.8966,0.284479,0.0948498
6241,6038,0.831262,0.921624,0.694042
6341,6040,0.699374,0.56467,0.741083
6385,6045,0.458395,0.448217,0.684293
6432,6048,0.587932,0.232237,0.867232
6465,6061,0.161061,0.72581,0.350576
6520,6063,0.676334,0.0854705,0.268763
6558,6072,0.1858,0.385056,0.253042
6631,6087,0.849396,0.346267,0.548341
6682,6090,0.753361,0.885661,0.213997
6726,6091,0.295708,0.159533,0.751669
6779,6117,0.966329,0.2699,0.663206
6819,6136,0.310707,0.108623,0.397334
6897,6145,0.656023,0.545239,0.186451
6951,6158,0.528981,0.623438,0.726056
7011,6193,0.873993,0.939682,0.278442
7057,6204,0.858415,0.194624,0.659718
7127,6205,0.469746,0.728396,0.108927
7173,6252,0.432422,0.23419,0.172146
7254,6310,0.803099,0.475668,0.0484191
7302,6346,0.630517,0.163129,0.0929051
7356,6434,0.332173,0.0412965,0.368892
7418,6481,0.248781,0.609504,0.288438
7458,6482,0.135539,0.689045,0.239222
7516,6492,0.506497,0.798316,0.117768
7553,6493,0.384679,0.0257494,0.416866
7609,6529,0.677932,0.117669,0.809394
7656,6531,0.857632,0.524643,0.0732492
7695,6540,0.752479,0.15943,0.654772
