,ParticleId,Result:0,Result:1,Result:2
3,64,0.696813,0.348522,0.691647
91,154,0.712119,0.257568,0.593594
327,249,0.702386,0.328639,0.691571
646,586,0.709883,0.304765,0.405517
1628,1051,0.437776,0.570687,0.966844
1787,1099,0.106204,0.513372,0.142512
1823,1101,0.244082,0.205925,0.0802273
1882,1123,0.343043,0.854796,0.163445
1937,1124,0.743983,0.242533,0.326423
1980,1125,0.645497,0.261288,0.208751
2023,1127,0.668385,0.248892,0.205603
2063,1128,0.697709,0.310026,0.215147
2102,1129,0.682364,0.265139,0.209934
2135,1130,0.70204,0.2556,0.223455
2174,1131,0.7168,0.249308,0.239171
2211,1132,0.810441,0.229921,0.357898
2250,1135,0.826134,0.228613,0.543827
2293,1136,0.0537745,0.78525,0.682877
2386,1147,0.850145,0.240499,0.767226
2419,1150,0.4664,0.432347,0.047274
2483,1168,0.351828,0.243821,0.289674
2527,1169,0.71707,0.336129,0.237435
2558,1170,0.718846,0.335678,0.226213
2673,1179,0.887266,0.136709,0.581594
2724,1180,0.105939,0.725246,0.225984
2771,1182,0.824766,0.284225,0.397921
2810,1183,0.84359,0.229656,0.46798
2849,1184,0.495629,0.510133,0.969736
2952,1213,0.604274,0.211756,0.242203
2984,1215,0.84932,0.174036,0.682362
3137,1230,0.806968,0.243221,0.76529
3177,1231,0.846714,0.206223,0.557691
3225,1233,0.121474,0.350504,0.0958679
3267,1234,0.060707,0.504262,0.281194
3309,1235,0.0713536,0.373245,0.193424
3355,1238,0.771139,0.21173,0.355158
3590,1269,0.876725,0.23586,0.604463
3676,1272,0.205774,0.135898,0.117821
3712,1288,0.0589395,0.274504,0.213589
3743,1289,0.287726,0.78389,0.14886
3794,1296,0.419205,0.227055,0.143134
3851,1307,0.670557,0.326045,0.172234
3885,1309,0.870537,0.16095,0.539061
3934,1317,0.219685,0.980454,0.470513
3984,1319,0.268433,0.130125,0.108935
4016,1320,0.0448565,0.314365,0.283356
4063,1344,0.434298,0.268056,0.068352
4129,1353,0.522511,0.161826,0.364832
4171,1356,0.874497,0.168495,0.511891
4227,1365,0.216394,0.986226,0.74465
4268,1392,0.188108,0.793639,0.273379
4350,1401,0.714366,0.33441,0.236668
4400,1403,0.850423,0.243318,0.372845
4477,1413,0.508498,0.381738,0.0412328
4562,1448,0.382699,0.75877,0.82837
4640,1451,0.874745,0.175751,0.483871
4706,1459,0.700161,0.13845,0.165872
4733,1488,0.294822,0.786404,0.146613
4779,1497,0.184671,0.650173,0.481634
4811,1498,0.847176,0.246213,0.379415
4854,1499,0.708041,0.256586,0.918326
4915,1503,0.169572,0.142921,0.0713246
5009,1506,0.630747,0.547222,0.851777
5053,1545,0.258769,0.20228,0.245691
5098,1546,0.832783,0.265843,0.349255
5127,1547,0.840157,0.15035,0.69401
5187,1551,0.300727,0.235198,0.0256359
5274,1554,0.832255,0.316158,0.211555
5306,1584,0.289948,0.807094,0.154674
5333,1594,0.871118,0.181021,0.488809
5364,1595,0.833143,0.247685,0.339863
5430,1600,0.201357,0.140779,0.0620685
5527,1640,0.498268,0.398775,0.0970696
5591,1643,0.745052,0.298706,0.202008
5637,1680,0.334058,0.279343,0.0622575
5702,1689,0.184668,0.610063,0.556648
5743,1690,0.728785,0.272491,0.219143
95,1691,0.765861,0.316633,0.224245
136,1692,0.848192,0.238918,0.364475
181,1728,0.160832,0.772775,0.310607
248,1737,0.0934886,0.595797,0.645117
298,1740,0.809954,0.157334,0.816349
423,1786,0.337124,0.237889,0.337855
469,1788,0.82976,0.177688,0.776298
598,1834,0.698379,0.441272,0.153454
641,1837,0.769122,0.278292,0.260866
686,1872,0.885177,0.50114,0.0762997
737,1884,0.403748,0.729519,0.854697
778,1885,0.642721,0.220721,0.217435
832,1886,0.280852,0.21254,0.236142
901,1919,0.812608,0.71038,0.191579
939,1933,0.332605,0.728431,0.293728
983,1934,0.802845,0.259145,0.707397
1027,1936,0.544808,0.23267,0.163369
1089,1983,0.504816,0.331949,0.0977154
1124,1985,0.288379,0.206052,0.238134
1168,1986,0.593028,0.268655,0.171596
