,ParticleId,Result:0,Result:1,Result:2
1,64,0.55737,0.923905,0.243665
6,154,0.541975,0.536586,0.914504
19,249,0.595462,0.902076,0.215182
68,586,0.0398429,0.706767,0.152916
271,1051,0.652408,0.238696,0.205501
365,1124,0.781177,0.416923,0.684852
412,1125,0.868227,0.376518,0.572795
456,1127,0.87215,0.39731,0.626395
496,1128,0.990282,0.706388,0.61481
535,1129,0.892359,0.484387,0.682352
571,1130,0.94145,0.58116,0.685734
608,1131,0.987253,0.652396,0.66416
654,1136,0.354963,0.257634,0.385764
721,1147,0.654209,0.153596,0.742785
763,1168,0.495096,0.746765,0.124026
849,1179,0.344822,0.432965,0.218444
888,1184,0.547569,0.369712,0.165057
936,1213,0.523735,0.247217,0.878131
1062,1238,0.840105,0.47779,0.711928
1132,1269,0.516367,0.371053,0.0685909
1215,1353,0.76525,0.235577,0.797156
1363,1448,0.894685,0.35167,0.50726
1426,1498,0.00268807,0.309896,0.489511
1497,1506,0.494897,0.0608562,0.573802
1533,1545,0.379856,0.336426,0.26897
1622,1554,0.286775,0.409446,0.253486
1689,1689,0.671473,0.281245,0.883226
1826,1786,0.30919,0.465953,0.868924
1866,1788,0.182716,0.823712,0.652071
1970,1885,0.792384,0.336366,0.466113
2042,1919,0.532592,0.869029,0.512568
2122,1936,0.881575,0.387506,0.435236
2162,1985,0.578842,0.2009,0.405024
2206,1986,0.936886,0.463676,0.629971
2243,1987,0.92903,0.432494,0.60505
2375,2158,0.197434,0.382676,0.73492
3823,3214,0.120009,0.428064,0.0719626
3922,3218,0.0447627,0.225316,0.283842
4902,3505,0.261405,0.541848,0.00151894
4969,3526,0.227688,0.492024,0.648051
5000,3529,0.0682695,0.698193,0.857817
5041,3532,0.59493,0.630748,0.199213
5074,3535,0.780481,0.673317,0.701018
5097,3536,0.825829,0.724696,0.652873
5175,3571,0.703096,0.502195,0.713195
5208,3574,0.368509,0.605207,0.244629
5260,3575,0.333793,0.135812,0.374291
5307,3576,0.504645,0.295441,0.934118
5361,3580,0.0122474,0.592797,0.700565
5414,3583,0.243065,0.318654,0.589562
5471,3586,0.873424,0.713388,0.651828
5511,3587,0.341118,0.579346,0.600784
5554,3599,0.594773,0.395654,0.705032
5618,3614,0.740203,0.676619,0.143636
5663,3615,0.708489,0.784687,0.180761
5696,3616,0.806648,0.448972,0.705593
5781,3630,0.217405,0.471135,0.901445
5823,3631,0.0504591,0.825561,0.611933
