,ParticleId,Result:0,Result:1,Result:2
1,64,0.100138,0.429227,0.747982
3,108,0.934883,0.074998,0.767463
5,154,0.668122,0.875248,0.673036
12,249,0.151674,0.477663,0.76254
97,586,0.179781,0.901343,0.551334
392,1051,0.725864,0.136684,0.366974
450,1124,0.652072,0.5219,0.635423
504,1125,0.746554,0.477207,0.29163
541,1127,0.76215,0.472848,0.305544
611,1129,0.837227,0.493591,0.325175
646,1130,0.93367,0.473136,0.386797
710,1136,0.262435,0.14587,0.366193
772,1147,0.390684,0.337765,0.9041
815,1168,0.114124,0.368782,0.667478
901,1179,0.383005,0.513951,0.137061
943,1184,0.617991,0.236141,0.160789
984,1213,0.1492,0.360742,0.494741
1081,1238,0.791204,0.411196,0.390791
1137,1269,0.532702,0.460122,0.927693
1198,1353,0.263417,0.762984,0.447445
1319,1448,0.775175,0.558722,0.25221
1374,1498,0.200704,0.873922,0.469333
1419,1506,0.196045,0.0829201,0.865311
1458,1545,0.248144,0.310459,0.264465
1554,1554,0.402775,0.589037,0.123946
1612,1689,0.314153,0.867112,0.446238
1707,1786,0.375047,0.894599,0.29694
1748,1788,0.220097,0.75473,0.736894
1845,1885,0.529576,0.568213,0.634442
1887,1919,0.465301,0.560576,0.194438
1937,1936,0.761078,0.627152,0.263956
1976,1985,0.361019,0.197927,0.246037
2033,1986,0.900898,0.567294,0.311279
2074,1987,0.877101,0.591885,0.300549
2171,2158,0.308577,0.697682,0.174701
2439,2640,0.0358544,0.144907,0.716683
2516,2642,0.0593273,0.306204,0.231127
2572,2689,0.131813,0.529299,0.0561179
2890,2834,0.0504856,0.145797,0.451006
3103,2976,0.0390347,0.192343,0.831916
3219,3025,0.229855,0.646836,0.00253692
3379,3119,0.0810003,0.422857,0.133082
3876,3309,0.0336876,0.142711,0.702107
4067,3357,0.0855042,0.447057,0.115818
4165,3363,0.0586165,0.296676,0.241456
4408,3447,0.0531763,0.168601,0.396719
4661,3526,0.384939,0.787672,0.189095
4708,3529,0.118258,0.495705,0.674631
4752,3532,0.504376,0.377317,0.786965
4789,3535,0.736698,0.512393,0.626393
4830,3536,0.779022,0.51603,0.616008
4896,3571,0.348309,0.694841,0.512444
4932,3574,0.317622,0.309866,0.33761
4980,3575,0.472427,0.291492,0.0683357
5017,3576,0.327893,0.930832,0.292496
5095,3583,0.175705,0.138091,0.637842
5134,3586,0.842163,0.478409,0.560181
5179,3587,0.498235,0.202726,0.712527
5214,3599,0.424203,0.251149,0.383903
5265,3614,0.778013,0.277994,0.455988
5307,3615,0.741686,0.292577,0.496702
5352,3616,0.764504,0.406254,0.50767
5399,3630,0.651346,0.955835,0.370569
5452,3631,0.0453726,0.790278,0.729778
5513,3634,0.116117,0.604229,0.803053
5561,3636,0.737164,0.129709,0.523419
5606,3648,0.254762,0.320593,0.640919
5648,3661,0.552987,0.400712,0.831366
5737,3673,0.164162,0.786742,0.155634
5800,3678,0.181065,0.833965,0.629748
5835,3682,0.0550428,0.717361,0.550127
5872,3687,0.833746,0.493177,0.58207
5963,3724,0.765223,0.505008,0.582727
6003,3755,0.339464,0.22549,0.308407
6068,3762,0.713497,0.819506,0.079376
6137,3803,0.324632,0.391591,0.659036
6180,3849,0.812937,0.656368,0.57028
6220,3850,0.955038,0.532062,0.557581
6282,3860,0.341638,0.291739,0.16105
6358,3898,0.447364,0.166124,0.406722
6397,3900,0.564869,0.449984,0.272625
6430,3937,0.147001,0.130181,0.635267
6469,3945,0.908619,0.724732,0.516653
6508,3948,0.324643,0.279948,0.454248
6629,3995,0.162627,0.525579,0.852859
6674,3996,0.31457,0.725905,0.153004
6718,4033,0.791127,0.531852,0.605929
6761,4041,0.184031,0.389117,0.410298
6803,4043,0.264354,0.0615433,0.50651
6834,4044,0.166749,0.782209,0.157963
6883,4081,0.653141,0.175723,0.217252
6924,4091,0.34071,0.332925,0.302672
6975,4138,0.691969,0.0965965,0.303319
7016,4140,0.22834,0.253723,0.685647
7062,4141,0.37106,0.165996,0.433856
7100,4144,0.343345,0.144128,0.504801
7138,4193,0.269548,0.134698,0.519436
7176,4235,0.801984,0.708089,0.519069
7212,4238,0.754851,0.67414,0.558484
7260,4273,0.101894,0.577639,0.208098
7303,4284,0.729064,0.617271,0.608587
7341,4286,0.165606,0.326974,0.589971
7386,4287,0.280957,0.741427,0.741352
7428,4293,0.456365,0.106532,0.658912
7468,4336,0.782281,0.396649,0.455535
7499,4369,0.099503,0.565527,0.210867
7558,4385,0.608458,0.0957963,0.539601
7608,4393,0.316643,0.615957,0.161699
7654,4417,0.784942,0.71727,0.52405
7696,4435,0.503616,0.140315,0.779434
7740,4436,0.688793,0.497779,0.623842
7780,4437,0.289055,0.666082,0.458545
7829,4446,0.517695,0.0860106,0.798198
7868,4453,0.371883,0.653323,0.132334
7908,4456,0.453748,0.447571,0.808382
7938,4458,0.629949,0.653618,0.625076
7970,4460,0.559018,0.673967,0.626316
8005,4462,0.269242,0.517767,0.666948
8053,4463,0.605267,0.857923,0.472363
8098,4484,0.213446,0.504397,0.296575
8150,4485,0.527777,0.310948,0.285052
8198,4488,0.459965,0.528352,0.868859
8238,4489,0.144431,0.747138,0.151435
8282,4490,0.58519,0.609452,0.64298
8322,4491,0.85696,0.476081,0.555105
8370,4494,0.429485,0.226688,0.678374
8421,4495,0.511853,0.850871,0.202225
8462,4497,0.702765,0.201935,0.310965
8573,4789,0.126297,0.370698,0.953326
9088,5924,0.730316,0.372076,0.828158
9141,5925,0.713484,0.484845,0.130673
9183,5926,0.944979,0.711776,0.40499
9269,5929,0.639521,0.404726,0.332247
9313,5930,0.836456,0.132528,0.66058
9365,5931,0.262512,0.41524,0.213091
9403,5932,0.544336,0.548845,0.224012
9457,5935,0.865041,0.712915,0.41011
9497,5938,0.582269,0.239109,0.692461
9534,5939,0.446059,0.317705,0.735234
9579,5970,0.448438,0.742306,0.263528
9614,5976,0.16348,0.284002,0.650035
9672,5977,0.584828,0.0855936,0.224187
9703,5981,0.220039,0.0906861,0.205044
9747,5982,0.686906,0.0832792,0.297104
9804,5983,0.413441,0.412438,0.890124
9852,5987,0.544282,0.0924059,0.530225
9895,5989,0.319522,0.458742,0.637194
9943,5990,0.534401,0.0662693,0.519573
9998,5998,0.773212,0.710999,0.300403
10046,5999,0.763889,0.603063,0.259835
10098,6017,0.903326,0.65263,0.561452
10134,6019,0.602593,0.208452,0.483186
10187,6024,0.301819,0.350854,0.134854
10232,6026,0.281057,0.273815,0.396397
10270,6027,0.569661,0.0696679,0.69781
10325,6028,0.863286,0.140194,0.438268
10364,6029,0.430345,0.324328,0.899048
10436,6037,0.176109,0.268333,0.680667
10480,6038,0.398635,0.273772,0.145391
10535,6039,0.118234,0.561467,0.715054
10578,6040,0.627333,0.157769,0.241749
10622,6045,0.687024,0.0849354,0.434088
10666,6048,0.564738,0.258935,0.737486
10721,6061,0.292395,0.632391,0.668985
10762,6063,0.433499,0.79917,0.412606
10889,6076,0.142154,0.39098,0.779998
10929,6087,0.319246,0.412155,0.141307
10980,6089,0.143101,0.677781,0.786976
11037,6090,0.130505,0.560884,0.652186
11079,6091,0.322313,0.456092,0.636538
11122,6109,0.857321,0.664461,0.572604
11169,6117,0.167035,0.243839,0.427916
11239,6136,0.587538,0.690627,0.216682
11297,6145,0.264571,0.734843,0.756367
11336,6155,0.83314,0.673934,0.479931
11374,6157,0.847187,0.598321,0.595777
11417,6158,0.705318,0.17877,0.679495
11460,6193,0.221647,0.767193,0.657489
11512,6204,0.708174,0.230996,0.529533
11546,6205,0.289444,0.345039,0.328537
11586,6252,0.533832,0.74916,0.56455
11636,6298,0.865659,0.728622,0.401477
11707,6310,0.205253,0.270135,0.876945
11749,6346,0.343479,0.385068,0.412259
11828,6434,0.35152,0.270142,0.637057
11865,6444,0.737749,0.583123,0.619003
11905,6481,0.333781,0.419892,0.894009
11948,6482,0.713581,0.41056,0.583475
11983,6492,0.225541,0.217763,0.600782
12037,6493,0.433507,0.127313,0.494637
12126,6529,0.699008,0.356707,0.167327
12172,6531,0.139161,0.344635,0.705815
12214,6540,0.699575,0.203908,0.556787
12260,6541,0.435172,0.375572,0.68932
12303,6547,0.148327,0.287234,0.659569
12347,6577,0.355494,0.28998,0.880702
12386,6578,0.139103,0.716273,0.134662
12437,6589,0.496194,0.281129,0.26519
12479,6626,0.465861,0.0821655,0.677473
12523,6627,0.281905,0.324744,0.527194
12566,6638,0.664454,0.603664,0.62988
12629,6674,0.144628,0.547045,0.229343
12673,6675,0.447679,0.420574,0.311005
12710,6686,0.987163,0.69913,0.420995
12745,6687,0.621543,0.637161,0.627537
12790,6721,0.336901,0.155773,0.655488
12848,6722,0.653259,0.42612,0.160363
12893,6734,0.342821,0.714019,0.31724
12943,6736,0.556831,0.419854,0.31509
13002,6763,0.00656318,0.497029,0.53566
13074,6768,0.338504,0.285181,0.431537
13118,6769,0.834808,0.45884,0.274378
13160,6770,0.441978,0.148385,0.728849
13201,6785,0.798668,0.620377,0.603817
13244,6799,0.585953,0.225358,0.369922
13299,6809,0.126355,0.692199,0.202126
13347,6813,0.332813,0.188029,0.599207
13392,6814,0.498029,0.479175,0.679806
13484,6816,0.176906,0.731182,0.76301
13522,6833,0.357596,0.644532,0.267414
13570,6834,0.215349,0.418364,0.424488
13611,6835,0.90058,0.66113,0.557366
13642,6836,0.891714,0.646273,0.569498
13697,6848,0.24401,0.313948,0.774178
13751,6849,0.104091,0.339828,0.503833
13796,6850,0.103323,0.40115,0.344843
13841,6851,0.0850597,0.41777,0.310454
13871,6853,0.886641,0.643663,0.545014
13907,6854,0.304727,0.117688,0.347535
13950,6855,0.300397,0.305484,0.336813
13989,6859,0.892186,0.701803,0.451888
14037,6860,0.241794,0.195237,0.296546
14078,6861,0.416779,0.454286,0.719122
14132,6862,0.572439,0.369817,0.16752
14206,6864,0.818331,0.205949,0.495948
14250,6865,0.355341,0.380527,0.708933
14291,6883,0.679525,0.201577,0.700729
14341,6886,0.0980607,0.494659,0.712416
14383,6899,0.289924,0.47944,0.888108
14419,6900,0.158948,0.329025,0.699322
14470,6907,0.724752,0.141688,0.453684
14507,6909,0.969492,0.669935,0.561678
14555,6910,0.677036,0.150219,0.260093
14611,6911,0.751615,0.363172,0.820811
14654,6912,0.366781,0.506168,0.849344
14705,6939,0.744944,0.734806,0.518932
14739,6941,0.967853,0.684419,0.340226
14780,6942,0.889061,0.709257,0.506921
14821,6949,0.986362,0.676629,0.350879
14904,6956,0.793984,0.221075,0.298398
14948,6959,0.623598,0.0958189,0.62932
14999,6996,0.67902,0.429967,0.836885
15040,6999,0.2719,0.191407,0.787833
15089,7000,0.440428,0.190609,0.144399
15137,7003,0.739926,0.192088,0.447488
15176,7004,0.754286,0.432776,0.598628
15224,7006,0.544457,0.115024,0.213427
15651,7672,0.0151798,0.706992,0.462985
15833,7721,0.267448,0.685479,0.814403
16145,8004,0.0850635,0.49409,0.111597
16370,8330,0.728499,0.404919,0.540138
16414,8331,0.32945,0.541772,0.602146
16460,8332,0.664468,0.475152,0.259164
16507,8333,0.72034,0.485963,0.268185
16570,8336,0.991816,0.486669,0.366272
16623,8337,0.827881,0.462825,0.3315
16670,8338,0.619119,0.454991,0.827795
16707,8340,0.822057,0.423559,0.396412
16762,8371,0.416591,0.332662,0.740846
16825,8372,0.759661,0.310639,0.182109
16877,8373,0.303141,0.313827,0.619069
16921,8374,0.358693,0.416596,0.410005
16964,8377,0.608868,0.812034,0.19211
17006,8378,0.281137,0.887626,0.219727
17054,8384,0.412329,0.915838,0.288448
17107,8386,0.613017,0.541823,0.141833
17148,8387,0.956671,0.581263,0.314156
17188,8388,0.70684,0.520539,0.249165
17235,8389,0.388771,0.286575,0.145251
17282,8390,0.555325,0.224769,0.90717
17330,8417,0.0972136,0.521499,0.697591
17373,8418,0.415682,0.620216,0.815866
17423,8420,0.777508,0.737921,0.387104
17463,8421,0.370636,0.527932,0.129454
17500,8422,0.356279,0.115468,0.329153
17547,8423,0.626812,0.211182,0.144755
17590,8424,0.297019,0.0817739,0.449275
17640,8425,0.343944,0.400117,0.168279
17683,8426,0.316349,0.170407,0.86713
17724,8427,0.542725,0.154805,0.844151
17765,8428,0.323473,0.37661,0.861873
17808,8429,0.249395,0.104821,0.403014
17876,8437,0.62289,0.44128,0.284336
17928,8438,0.733577,0.674372,0.252039
17976,8439,0.178252,0.321515,0.505847
18024,8440,0.970356,0.492872,0.359968
18070,8441,0.262032,0.195122,0.373982
18109,8443,0.82213,0.417036,0.426472
18153,8447,0.323672,0.439165,0.607617
18219,8463,0.119417,0.560207,0.696865
18270,8464,0.103217,0.552436,0.730455
18317,8466,0.468902,0.389436,0.781447
18400,8469,0.561839,0.353574,0.767036
18439,8470,0.417765,0.498435,0.113716
18492,8471,0.511372,0.0680942,0.786169
18541,8472,0.49852,0.821357,0.227957
18582,8473,0.440132,0.195406,0.884533
18691,8481,0.112343,0.954342,0.207635
18734,8487,0.474026,0.10832,0.752926
18782,8488,0.592698,0.26003,0.725916
18827,8489,0.329243,0.191323,0.261741
18875,8490,0.626061,0.709491,0.139908
18927,8492,0.324511,0.220773,0.838449
18983,8503,0.546592,0.191231,0.808907
19032,8510,0.142419,0.572731,0.64713
19088,8511,0.815994,0.211426,0.526702
19140,8517,0.640723,0.27159,0.738249
19185,8518,0.206535,0.318038,0.658459
19228,8519,0.611401,0.240472,0.126836
19285,8520,0.851569,0.146604,0.291815
19440,8545,0.67219,0.651967,0.128595
19488,8546,0.407484,0.187544,0.704334
19540,8558,0.106486,0.53034,0.649648
19699,8594,0.776456,0.392697,0.505591
19748,8595,0.914369,0.453731,0.399177
19793,8605,0.291805,0.576054,0.298162
19837,8606,0.95074,0.573215,0.309287
19873,8643,0.627735,0.531517,0.64955
19909,8645,0.939075,0.455348,0.486169
19954,8653,0.200636,0.665989,0.745777
20001,8657,0.577513,0.424205,0.334301
20069,8690,0.628018,0.857152,0.231275
20112,8691,0.73652,0.458646,0.293126
20150,8692,0.676986,0.492651,0.64129
20186,8693,0.943029,0.457028,0.424953
20225,8701,0.817938,0.524922,0.240983
20286,8738,0.658453,0.716281,0.13494
20372,8740,0.727044,0.448045,0.300002
20406,8742,0.748818,0.443563,0.607019
20455,8749,0.154305,0.611647,0.723339
20507,8786,0.233371,0.219057,0.371049
20542,8789,0.690946,0.479447,0.634594
20589,8797,0.101931,0.523724,0.612663
20635,8834,0.175614,0.254,0.62835
20674,8835,0.298771,0.269872,0.266155
20721,8837,0.324227,0.431411,0.623158
20762,8845,0.915721,0.733915,0.368619
20797,8882,0.299711,0.0774798,0.498853
20854,8883,0.636544,0.612959,0.134335
20904,8885,0.761391,0.507279,0.27422
20948,8893,0.107615,0.564399,0.735932
21019,8930,0.434286,0.34444,0.821232
21061,8931,0.613517,0.804973,0.179892
21106,8933,0.753228,0.452596,0.304351
21146,8941,0.134565,0.566558,0.628913
21199,8942,0.88392,0.61246,0.295402
21252,8979,0.441945,0.337114,0.825468
21302,8989,0.465077,0.554615,0.812368
21346,8990,0.956442,0.722331,0.367778
21399,8999,0.114363,0.454264,0.470724
21439,9000,0.949286,0.498234,0.329818
21488,9027,0.655424,0.644794,0.130896
21527,9038,0.123141,0.552882,0.622605
