,ParticleId,Result:0,Result:1,Result:2
0,64,0.924684,0.896889,0.689734
2,154,0.841094,0.639404,0.174514
11,586,0.61573,0.649118,0.607147
31,1036,0.580769,0.691722,0.0862678
52,1037,0.530187,0.849592,0.175383
70,1038,0.517125,0.837836,0.195581
89,1051,0.196272,0.670641,0.536214
123,1124,0.763001,0.239208,0.0302831
185,1130,0.842222,0.727458,0.25104
241,1179,0.657996,0.126439,0.257752
279,1184,0.267395,0.233536,0.251833
330,1213,0.960474,0.364058,0.21857
420,1353,0.727023,0.10653,0.52246
469,1402,0.580399,0.603333,0.224372
577,1553,0.754899,0.544253,0.453691
611,1554,0.240471,0.588565,0.650285
661,1885,0.349579,0.515335,0.755752
706,1919,0.795643,0.480737,0.26391
759,1985,0.463127,0.714954,0.588331
828,2158,0.275111,0.266529,0.468484
1052,3529,0.185151,0.419353,0.257152
1098,3532,0.2076,0.405216,0.33289
1135,3571,0.723469,0.120665,0.577264
1196,3575,0.28843,0.0831772,0.402877
1240,3586,0.794898,0.707574,0.357223
1279,3587,0.876294,0.83768,0.804633
1358,3614,0.846752,0.665029,0.748352
1400,3615,0.852898,0.91621,0.804267
1453,3631,0.312035,0.490522,0.367277
1496,3636,0.250723,0.87779,0.429292
1540,3661,0.23165,0.785275,0.232797
1598,3662,0.906964,0.689553,0.199658
1644,3682,0.379533,0.721384,0.559479
1688,3687,0.765203,0.723971,0.275333
1736,3755,0.353581,0.272128,0.189608
1786,3803,0.871177,0.854683,0.80362
1867,3850,0.882969,0.618868,0.228593
1900,3898,0.816421,0.733822,0.874088
1963,3945,0.800703,0.711821,0.307478
2001,3948,0.588987,0.36761,0.0975171
2121,4041,0.634059,0.186706,0.184781
2173,4043,0.289825,0.315664,0.262303
2212,4081,0.286654,0.202533,0.270932
2295,4140,0.774259,0.887472,0.561668
2393,4293,0.354567,0.935753,0.537029
2451,4393,0.24872,0.412815,0.546867
2507,4417,0.60724,0.794237,0.315053
2545,4436,0.873194,0.167769,0.0615268
2589,4437,0.296249,0.790881,0.476122
2633,4446,0.315563,0.694411,0.32563
2671,4453,0.237614,0.608157,0.698186
2715,4456,0.174579,0.762654,0.272074
2750,4458,0.849796,0.0942812,0.282299
2781,4460,0.92273,0.0857918,0.323136
2830,4462,0.404186,0.397302,0.162939
2873,4463,0.48777,0.643907,0.0087262
2912,4484,0.53907,0.186823,0.285304
2961,4485,0.710038,0.327424,0.475995
3011,4488,0.780399,0.958505,0.445627
3039,4490,0.817658,0.173878,0.0792204
3073,4494,0.258338,0.163595,0.514289
3427,5924,0.221489,0.316224,0.480645
3467,5925,0.749421,0.0588726,0.425669
3522,5926,0.863086,0.653048,0.225633
3578,5929,0.87532,0.188455,0.091312
3618,5932,0.881338,0.330989,0.424406
3696,5970,0.740824,0.213116,0.509981
3746,5977,0.125643,0.544035,0.351494
3807,5983,0.69912,0.207951,0.614763
3870,5989,0.360333,0.67797,0.642157
3910,6016,0.962486,0.681162,0.349482
3935,6017,0.804759,0.713339,0.309532
3972,6019,0.865285,0.245931,0.0664217
4036,6027,0.72037,0.951699,0.426407
4116,6040,0.694673,0.882151,0.151506
4172,6048,0.658563,0.815713,0.0727718
4215,6061,0.663837,0.213732,0.648734
4254,6063,0.531462,0.94262,0.754157
4279,6072,0.681983,0.30491,0.0234283
4383,6091,0.594355,0.84648,0.355066
4415,6136,0.258819,0.901692,0.651207
4462,6145,0.838742,0.825974,0.543494
4547,6204,0.914531,0.483289,0.918138
4596,6205,0.245164,0.752559,0.389802
4632,6252,0.82621,0.0850146,0.703436
4707,6300,0.906366,0.58913,0.183288
4752,6346,0.56913,0.935505,0.738688
4803,6434,0.326302,0.900049,0.755559
4854,6481,0.328471,0.628816,0.095571
4886,6482,0.700958,0.51012,0.719162
4934,6492,0.794096,0.535532,0.22847
4999,6529,0.572406,0.787453,0.230433
5065,6540,0.313374,0.454549,0.181208
5094,6541,0.209301,0.32347,0.510703
5162,6626,0.960127,0.172384,0.427096
5214,6627,0.825056,0.476883,0.0753965
5276,6675,0.273596,0.256625,0.549508
5316,6687,0.703191,0.197173,0.104996
5387,6722,0.436124,0.764891,0.575045
5433,6734,0.303198,0.743696,0.205561
5466,6736,0.456163,0.903132,0.0881663
5514,6763,0.381687,0.592039,0.577547
5556,6768,0.512398,0.558471,0.0276906
5629,6785,0.791819,0.725153,0.396918
5661,6799,0.589191,0.176282,0.447845
5700,6813,0.493317,0.978298,0.499984
5728,6814,0.2859,0.775322,0.814549
5760,6833,0.689332,0.585994,0.939322
5805,6834,0.651544,0.19359,0.280204
5832,6835,0.790006,0.704826,0.31779
5889,6848,0.29903,0.769145,0.140932
5944,6855,0.725206,0.668227,0.532618
5997,6861,0.895154,0.718503,0.837051
6038,6862,0.39182,0.307839,0.325707
6086,6864,0.319296,0.841348,0.581398
6136,6865,0.732417,0.571811,0.0876139
6179,6900,0.645611,0.201417,0.262454
6223,6907,0.370127,0.093826,0.376878
6276,6909,0.842403,0.783062,0.146232
6313,6910,0.458504,0.0553192,0.426081
6353,6911,0.172504,0.332792,0.362767
6388,6912,0.210392,0.850984,0.166167
6437,6941,0.838667,0.787395,0.188083
6465,6954,0.896451,0.698557,0.269175
6507,6956,0.259249,0.541438,0.628516
6563,6996,0.332107,0.802278,0.793424
6621,7003,0.239913,0.329706,0.282453
6773,7672,0.420225,0.657468,0.172214
7058,8331,0.893502,0.407407,0.924389
7092,8332,0.645791,0.0644283,0.34793
7141,8336,0.896325,0.805184,0.172491
7189,8337,0.805204,0.686644,0.414404
7247,8338,0.68481,0.731335,0.65832
7296,8371,0.861428,0.91461,0.791597
7329,8372,0.292169,0.54228,0.745456
7380,8373,0.811894,0.649315,0.688991
7412,8374,0.921162,0.128473,0.651506
7446,8377,0.826877,0.504757,0.800113
7495,8386,0.433173,0.695927,0.632441
7551,8387,0.856411,0.807916,0.320686
7631,8421,0.274454,0.620183,0.731326
7672,8423,0.231071,0.703099,0.698353
7770,8428,0.704878,0.8866,0.127921
7829,8437,0.672944,0.271603,0.111844
7878,8440,0.910296,0.667417,0.410813
7970,8466,0.224606,0.387129,0.341289
8014,8467,0.88473,0.712839,0.198118
8069,8469,0.612555,0.470022,0.316259
8102,8470,0.297236,0.703159,0.767622
8124,8471,0.251049,0.174113,0.194627
8164,8472,0.263135,0.378756,0.433527
8217,8488,0.986244,0.248198,0.261066
8267,8489,0.295204,0.754226,0.444069
8311,8490,0.395378,0.201269,0.536569
8354,8491,0.965675,0.67627,0.360894
8404,8492,0.225922,0.809945,0.357773
8450,8503,0.24721,0.462265,0.353968
8521,8511,0.475929,0.782489,0.541184
8566,8517,0.321045,0.255209,0.278236
8617,8518,0.223064,0.747575,0.180149
8663,8519,0.187163,0.463698,0.467771
8729,8545,0.631125,0.771382,0.830266
8808,8594,0.374539,0.492232,0.0718137
8831,8595,0.763116,0.697378,0.325396
8911,8606,0.883316,0.718483,0.404946
8981,8645,0.842789,0.716896,0.254607
9011,8690,0.675027,0.698119,0.796146
9074,8693,0.879053,0.647512,0.319771
9108,8738,0.66869,0.7775,0.82705
9135,8739,0.94235,0.111501,0.482831
9183,8789,0.946794,0.100695,0.189992
9243,8845,0.76363,0.696888,0.314686
9301,8883,0.380803,0.259225,0.396065
9358,8930,0.778753,0.590796,0.38368
9393,8931,0.589677,0.174818,0.420979
9449,8979,0.531474,0.48113,0.669491
9485,8989,0.564806,0.382182,0.120948
9533,8990,0.875551,0.766367,0.416451
9596,8996,0.403925,0.542296,0.670363
9655,9000,0.876508,0.737593,0.397661
