,ParticleId,Result:0,Result:1,Result:2
3,64,0.819224,0.120405,0.595953
11,154,0.235376,0.428748,0.22467
37,249,0.77648,0.172334,0.795959
177,586,0.0848188,0.853653,0.70536
509,1051,0.224404,0.522673,0.523654
560,1099,0.0334228,0.823805,0.594849
619,1124,0.839922,0.568719,0.250347
659,1125,0.899073,0.632659,0.285432
698,1127,0.907271,0.574191,0.276963
733,1128,0.988664,0.434854,0.711472
769,1129,0.940211,0.425367,0.355704
815,1130,0.973957,0.375151,0.508454
849,1131,0.992068,0.382756,0.628303
919,1136,0.308621,0.411035,0.426191
981,1147,0.46106,0.296694,0.218541
1040,1168,0.700424,0.215086,0.834089
1126,1179,0.41458,0.532805,0.780267
1164,1184,0.277247,0.580437,0.690616
1207,1213,0.482272,0.23845,0.230121
1338,1238,0.906211,0.427225,0.319864
1414,1269,0.172754,0.338643,0.82708
1507,1353,0.187525,0.50871,0.42948
1645,1448,0.896526,0.758122,0.341002
1702,1498,0.0899072,0.868909,0.155714
1788,1506,0.358755,0.115707,0.553786
1823,1545,0.31384,0.572397,0.638049
1924,1554,0.460428,0.459335,0.822478
1998,1689,0.265236,0.38877,0.22945
2063,1737,0.978115,0.37558,0.75813
2170,1786,0.542766,0.320234,0.136898
2220,1788,0.122948,0.614095,0.252963
2296,1825,0.0608448,0.300626,0.153082
2401,1885,0.787923,0.773453,0.347109
2443,1886,0.503734,0.539497,0.625826
2502,1919,0.849854,0.193682,0.420282
2566,1936,0.908658,0.726543,0.359623
2601,1985,0.452971,0.405287,0.276964
2642,1986,0.962644,0.488925,0.342713
2686,1987,0.953661,0.542494,0.313331
2868,2158,0.720609,0.187196,0.393338
3186,2591,0.0294051,0.189159,0.329283
3332,2643,0.0963664,0.343323,0.092311
3622,2784,0.0437277,0.265859,0.209097
4440,3213,0.0515314,0.260448,0.182094
4520,3216,0.0489594,0.2752,0.189455
5155,3399,0.0538435,0.308533,0.162081
5362,3411,0.0880129,0.329909,0.104645
5713,3526,0.383883,0.756731,0.205455
5770,3529,0.102572,0.63033,0.0638404
5885,3532,0.629436,0.640834,0.708737
5924,3535,0.89742,0.336667,0.626831
5961,3536,0.889534,0.423205,0.757765
5994,3570,0.970437,0.607462,0.7921
6041,3571,0.812649,0.508457,0.252761
6082,3574,0.764937,0.326725,0.550192
6127,3575,0.226107,0.212309,0.641996
5074,3576,0.295311,0.217991,0.214146
5126,3580,0.035736,0.817435,0.279446
5186,3583,0.470061,0.470899,0.746921
5282,3586,0.915655,0.434988,0.75192
5323,3587,0.54241,0.807539,0.332822
5351,3599,0.394011,0.764917,0.431612
5401,3614,0.492519,0.693281,0.820806
5448,3615,0.554741,0.622682,0.832627
5493,3616,0.875239,0.475547,0.282289
5563,3630,0.459065,0.276913,0.106626
5607,3631,0.0541319,0.654461,0.233349
5667,3634,0.096568,0.600081,0.120106
5706,3636,0.239063,0.545053,0.379732
5764,3648,0.295193,0.921437,0.705843
5812,3661,0.716194,0.357244,0.820786
5938,3672,0.00464002,0.744277,0.708272
5983,3673,0.139131,0.27603,0.588356
6072,3678,0.0648179,0.446501,0.441492
6187,3682,0.0892514,0.658493,0.406198
6254,3687,0.906102,0.452515,0.769877
6288,3690,0.960344,0.756901,0.754468
6363,3724,0.890614,0.416044,0.708103
6394,3755,0.307982,0.703366,0.478933
6491,3762,0.648507,0.121153,0.295687
6585,3803,0.754754,0.620267,0.231685
6653,3849,0.873706,0.73361,0.737896
6690,3850,0.948747,0.543968,0.781574
6737,3860,0.334445,0.411532,0.344156
6775,3897,0.983528,0.416102,0.314972
6813,3898,0.676153,0.360523,0.642515
6854,3900,0.685739,0.687908,0.715434
6892,3937,0.539488,0.273491,0.756176
6929,3945,0.861211,0.777322,0.804536
6966,3948,0.494807,0.712793,0.60354
7022,3993,0.985,0.333864,0.45104
7082,3995,0.793646,0.164168,0.262962
7132,3996,0.700165,0.181624,0.438977
7173,4033,0.882411,0.486539,0.787209
7213,4041,0.737555,0.203206,0.454803
7254,4043,0.322757,0.273012,0.689522
7300,4044,0.141051,0.271159,0.576993
7332,4081,0.247572,0.575596,0.594687
7377,4091,0.654268,0.412003,0.241589
7416,4138,0.340049,0.419809,0.278873
7457,4140,0.500975,0.661665,0.201688
7504,4141,0.682822,0.305469,0.608118
7583,4144,0.627951,0.259764,0.611875
7618,4193,0.403195,0.399722,0.322072
7658,4235,0.864166,0.783575,0.693347
7692,4238,0.852243,0.721473,0.728181
7745,4273,0.378534,0.462685,0.905574
7778,4284,0.843782,0.584778,0.791782
7821,4286,0.682392,0.236509,0.248301
7870,4287,0.112518,0.535274,0.343751
7911,4293,0.366366,0.451667,0.55628
7955,4336,0.891603,0.431187,0.307235
7993,4369,0.40683,0.45025,0.906683
8057,4385,0.689199,0.323042,0.344608
8100,4393,0.619364,0.315553,0.804318
8146,4417,0.840765,0.776014,0.729658
8189,4435,0.728739,0.309777,0.413721
8225,4436,0.850073,0.510913,0.261492
8266,4437,0.800882,0.585299,0.24397
8319,4446,0.576212,0.165884,0.55288
8369,4453,0.552062,0.376695,0.816057
8423,4456,0.578642,0.549906,0.83842
8458,4458,0.858635,0.381576,0.732927
8500,4460,0.874336,0.317274,0.49701
8558,4462,0.394687,0.731649,0.756625
8609,4463,0.0834305,0.596575,0.838647
8659,4484,0.731559,0.196016,0.421364
8708,4485,0.738742,0.378518,0.359875
8749,4488,0.813297,0.198896,0.559686
8794,4489,0.142502,0.367046,0.760521
8831,4490,0.857422,0.376889,0.320479
8869,4491,0.921703,0.429947,0.752559
8900,4494,0.513395,0.579756,0.645431
8937,4495,0.374486,0.780419,0.219193
8974,4497,0.731619,0.349034,0.284944
9012,4498,0.99131,0.318165,0.505192
9825,5924,0.263624,0.86024,0.524903
9862,5925,0.224079,0.766277,0.474716
9901,5926,0.916884,0.839589,0.611492
10027,5929,0.683201,0.732132,0.673252
10071,5930,0.220787,0.372958,0.830922
10106,5931,0.365576,0.548709,0.726084
10149,5932,0.71256,0.728859,0.693023
10192,5935,0.928089,0.790346,0.496719
10229,5937,0.953982,0.641835,0.858621
10277,5938,0.655455,0.799016,0.359907
10317,5939,0.721046,0.755124,0.275445
10372,5970,0.770138,0.466677,0.772673
10439,5976,0.744482,0.218858,0.468128
10480,5977,0.32081,0.186698,0.491199
10541,5981,0.274614,0.0716477,0.597689
10582,5982,0.350223,0.345417,0.305873
10633,5983,0.262475,0.356692,0.319374
10681,5987,0.561742,0.415274,0.72752
10716,5989,0.662171,0.799613,0.483185
10756,5990,0.546086,0.225719,0.685593
10812,5998,0.884552,0.790977,0.465348
10851,5999,0.907736,0.729082,0.346925
10893,6016,0.954534,0.847147,0.601225
10929,6017,0.905492,0.740686,0.762651
11030,6024,0.252859,0.277286,0.587382
11072,6026,0.634337,0.527262,0.70501
11108,6027,0.605801,0.211272,0.647389
11158,6028,0.742967,0.109946,0.596726
11208,6029,0.470921,0.347456,0.200352
11276,6037,0.746866,0.232137,0.376698
11323,6038,0.359887,0.421011,0.305747
11354,6039,0.138578,0.810248,0.22272
11391,6040,0.251284,0.64629,0.468577
11454,6045,0.464494,0.391681,0.232692
11503,6048,0.6846,0.802545,0.385088
11552,6061,0.254707,0.918246,0.575368
11594,6063,0.845741,0.332981,0.644789
11647,6072,0.855455,0.33358,0.51416
