,ParticleId,Result:0,Result:1,Result:2
3,154,0.880495,0.720434,0.482391
10,586,0.555639,0.698712,0.241792
19,1036,0.644361,0.834296,0.681679
24,1037,0.704121,0.75043,0.699106
34,1038,0.69586,0.707074,0.685474
45,1051,0.296702,0.292119,0.323297
60,1124,0.369582,0.874569,0.0554844
84,1128,0.935554,0.813326,0.190899
125,1130,0.872565,0.672042,0.309678
177,1179,0.329817,0.594507,0.0780101
201,1184,0.305208,0.204458,0.173241
244,1213,0.7014,0.942466,0.173547
310,1353,0.694877,0.227222,0.148336
359,1402,0.68988,0.640238,0.559287
475,1553,0.690988,0.7312,0.48937
509,1554,0.406189,0.184397,0.414302
565,1885,0.518556,0.174924,0.636331
612,1919,0.737547,0.791395,0.536423
651,1985,0.463573,0.413608,0.668203
716,2158,0.654568,0.137965,0.452948
889,3529,0.234486,0.203462,0.265896
927,3532,0.305482,0.222583,0.22859
964,3571,0.751253,0.206567,0.17757
1017,3575,0.72671,0.0547567,0.463818
1056,3586,0.794734,0.745383,0.319829
1088,3587,0.904579,0.662849,0.91807
1155,3614,0.981559,0.32508,0.587453
1186,3615,0.910469,0.806521,0.938284
1229,3631,0.279292,0.71119,0.296911
1258,3636,0.247257,0.632935,0.687195
1288,3661,0.199248,0.607241,0.520398
1333,3662,0.918618,0.723188,0.386347
1379,3682,0.409228,0.370532,0.416022
1409,3687,0.806213,0.67631,0.280406
1444,3755,0.153322,0.448917,0.145828
1492,3803,0.90371,0.687134,0.918399
1545,3850,0.87956,0.762797,0.419648
1577,3898,0.8062,0.595727,0.89228
1616,3900,0.404048,0.979252,0.440123
1632,3945,0.818768,0.711978,0.302559
1675,3948,0.292328,0.90044,0.448658
1771,4041,0.235501,0.791217,0.11481
1801,4043,0.21376,0.315947,0.16689
1830,4081,0.36116,0.207918,0.174525
1893,4140,0.974394,0.497247,0.69735
1973,4293,0.438402,0.754217,0.816077
2023,4393,0.561534,0.147116,0.457568
2065,4417,0.740914,0.580106,0.226323
2134,4437,0.311796,0.416317,0.400451
2182,4446,0.312609,0.542731,0.384732
2225,4453,0.381358,0.172065,0.471301
2262,4456,0.170452,0.515242,0.407638
2302,4458,0.595229,0.350618,0.0342414
2329,4460,0.744055,0.270635,0.021547
2371,4462,0.182275,0.782859,0.3551
2413,4463,0.360596,0.95624,0.614964
2451,4484,0.292163,0.604163,0.121966
2502,4485,0.43083,0.710266,0.272564
2577,4490,0.374248,0.814804,0.0400667
2614,4494,0.766467,0.0864305,0.702074
2887,5924,0.632376,0.105034,0.524826
2922,5925,0.690295,0.183636,0.116685
2960,5926,0.881515,0.71636,0.404773
3019,5929,0.442117,0.820342,0.0344992
3068,5932,0.541857,0.859435,0.173567
3142,5970,0.460734,0.563202,0.119811
3184,5977,0.282148,0.164137,0.354046
3242,5983,0.598577,0.371431,0.165108
3300,5989,0.421174,0.285358,0.425443
3351,6016,0.909445,0.762536,0.190461
3363,6017,0.821213,0.714897,0.301303
3413,6019,0.466411,0.899097,0.0686542
3472,6027,0.939735,0.752168,0.788046
3543,6040,0.906546,0.756577,0.696569
3597,6048,0.819746,0.869809,0.689961
3637,6061,0.648958,0.335192,0.198399
3673,6063,0.679676,0.847738,0.867234
3715,6072,0.308694,0.957669,0.271317
3792,6091,0.861193,0.476414,0.401734
3826,6136,0.271309,0.686209,0.807826
3871,6145,0.973365,0.391641,0.350641
3932,6205,0.26851,0.458096,0.348755
3950,6252,0.944522,0.100183,0.47353
4003,6300,0.883984,0.822376,0.436727
4035,6346,0.718152,0.82295,0.846856
4084,6434,0.341482,0.676654,0.845793
4124,6481,0.184951,0.800539,0.552196
4172,6482,0.61486,0.522269,0.157194
4219,6492,0.802603,0.733843,0.522193
4284,6529,0.835542,0.528333,0.483729
4337,6540,0.15755,0.702082,0.315694
4375,6541,0.646506,0.0961346,0.601416
4409,6626,0.764073,0.377205,0.0208264
4458,6627,0.719086,0.949672,0.491074
4515,6675,0.733632,0.131501,0.597863
4552,6687,0.264012,0.863554,0.105323
4623,6722,0.406282,0.386298,0.621827
4664,6734,0.25153,0.619146,0.54971
4714,6736,0.533082,0.944367,0.757127
4798,6768,0.345074,0.929892,0.592056
4847,6785,0.773421,0.76849,0.284906
4894,6799,0.486634,0.402939,0.21706
4924,6813,0.6888,0.92521,0.831716
4957,6814,0.228929,0.462566,0.668658
4992,6833,0.59389,0.606148,0.906672
5030,6834,0.291925,0.760232,0.149033
5046,6835,0.806054,0.71505,0.31292
5101,6848,0.234564,0.7415,0.635534
5157,6855,0.650865,0.804114,0.31473
5210,6861,0.88441,0.572528,0.933851
5255,6862,0.295058,0.57904,0.157918
5304,6864,0.289599,0.455533,0.575242
5355,6865,0.748272,0.876913,0.605161
5403,6900,0.277548,0.780314,0.157611
5436,6907,0.65434,0.127215,0.304346
5485,6909,0.932646,0.646491,0.483827
5517,6910,0.732881,0.0974394,0.296841
5554,6911,0.503152,0.0920281,0.413625
5591,6912,0.175717,0.77123,0.65819
5628,6941,0.922481,0.607407,0.398255
5659,6954,0.893443,0.724067,0.313228
5702,6956,0.457043,0.186888,0.405506
5755,6996,0.267825,0.4923,0.70276
5796,7003,0.279917,0.219629,0.205222
5926,7672,0.364181,0.661095,0.635234
6210,8332,0.531183,0.287568,0.111668
6252,8336,0.952415,0.638474,0.42048
6292,8337,0.769608,0.784598,0.321218
6345,8338,0.785232,0.453276,0.210739
6380,8371,0.919341,0.788725,0.933633
6414,8372,0.467823,0.154058,0.586973
6455,8373,0.883382,0.381422,0.202701
6519,8377,0.95621,0.287616,0.541631
6572,8386,0.419756,0.307977,0.567848
6605,8387,0.888657,0.612854,0.227244
6687,8421,0.387368,0.184721,0.490603
6725,8423,0.287446,0.259856,0.448845
6775,8428,0.908103,0.806283,0.701014
6831,8437,0.282177,0.913931,0.271972
6871,8440,0.841046,0.800252,0.190074
6946,8466,0.310828,0.239646,0.210456
6983,8467,0.91374,0.687209,0.38734
7033,8469,0.49676,0.789434,0.512236
7071,8470,0.294544,0.270566,0.516628
7093,8471,0.277584,0.165614,0.16702
7138,8472,0.439055,0.241453,0.255572
7232,8489,0.324994,0.444796,0.334884
7269,8490,0.729083,0.193787,0.405417
7304,8491,0.907306,0.765151,0.177904
7339,8492,0.207927,0.529614,0.494949
7367,8503,0.223727,0.463898,0.1743
7432,8511,0.661125,0.500854,0.60678
7471,8517,0.269804,0.303066,0.1422
7520,8518,0.172639,0.643333,0.506489
7578,8519,0.43489,0.147383,0.370906
7667,8545,0.739093,0.542538,0.735657
7731,8594,0.147834,0.826826,0.434911
7750,8595,0.779257,0.709508,0.319663
7807,8606,0.838176,0.761125,0.190691
7868,8645,0.870128,0.68035,0.316002
7912,8690,0.864757,0.406369,0.573435
7971,8693,0.855079,0.779879,0.336403
8018,8738,0.78191,0.531566,0.740656
8050,8739,0.889179,0.208865,0.0606718
8162,8845,0.783782,0.704032,0.31454
8235,8883,0.50254,0.27295,0.275525
8301,8930,0.763935,0.693303,0.425157
8357,8931,0.456156,0.432449,0.193487
8455,8989,0.290922,0.876852,0.476647
8506,8990,0.855065,0.680461,0.161615
8571,8996,0.538215,0.226201,0.590924
8614,9000,0.841182,0.741551,0.189099
8654,9027,0.793704,0.543217,0.789107
8719,9074,0.423188,0.140934,0.271338
8775,9075,0.646479,0.19072,0.401922
8834,9087,0.885627,0.826311,0.637123
8873,9088,0.262167,0.952076,0.371253
8990,9147,0.565433,0.1105,0.345417
9045,9169,0.529177,0.350346,0.229423
9105,9170,0.242259,0.446218,0.592655
9150,9171,0.745114,0.59307,0.773021
9212,9197,0.945912,0.642333,0.841295
9252,9198,0.472367,0.154555,0.451383
9294,9199,0.408358,0.48278,0.0796126
9346,9200,0.978637,0.682317,0.778112
9381,9202,0.147577,0.32772,0.117636
9479,9217,0.15352,0.780134,0.596277
9507,9235,0.929242,0.161031,0.721607
9550,9236,0.575335,0.338702,0.0748385
9582,9245,0.333967,0.671988,0.842435
9626,9248,0.197623,0.770056,0.737051
9680,9250,0.280492,0.310875,0.552053
9735,9251,0.362709,0.326492,0.178944
9779,9264,0.13153,0.210831,0.310076
9822,9266,0.768404,0.176863,0.288296
9867,9267,0.32902,0.710021,0.138597
9926,9290,0.125564,0.661981,0.463856
9996,9293,0.773704,0.094881,0.649322
10041,9294,0.512962,0.148552,0.268094
10083,9296,0.379865,0.316835,0.222256
10167,9300,0.349354,0.840929,0.775203
10208,9301,0.166727,0.214524,0.387296
10252,9302,0.265831,0.342375,0.150651
10323,9314,0.484767,0.457389,0.0565491
10407,9340,0.442597,0.618227,0.0440744
10447,9354,0.247942,0.200049,0.457915
10521,9355,0.769414,0.972879,0.661199
10566,9356,0.692392,0.144457,0.22033
10648,9358,0.531918,0.216958,0.436739
10698,9361,0.731048,0.608272,0.776016
10772,9363,0.651804,0.280145,0.579102
10854,9393,0.320033,0.566893,0.654149
10917,9402,0.873006,0.659995,0.288176
10979,9405,0.799941,0.651279,0.864342
11020,9407,0.18596,0.8753,0.567697
11099,9414,0.925574,0.619003,0.411071
11134,9448,0.233757,0.33463,0.192238
11182,9450,0.898696,0.627921,0.25249
11228,9457,0.494962,0.604794,0.809345
11266,9459,0.766579,0.29684,0.0168578
11307,9501,0.711712,0.145552,0.626359
11384,9503,0.725318,0.349227,0.00188522
11639,9797,0.582094,0.121855,0.397149
11783,9908,0.776758,0.550303,0.611152
11859,9956,0.739486,0.719421,0.713852
11948,10054,0.562339,0.921493,0.532266
12022,10167,0.766958,0.627584,0.223428
12099,10214,0.416727,0.32124,0.391476
12134,10215,0.926331,0.468543,0.928702
12198,10262,0.309665,0.512643,0.421308
12285,10309,0.332083,0.467126,0.544726
12385,10683,0.814341,0.776884,0.894328
12466,10745,0.405861,0.578526,0.0254364
12533,10753,0.429472,0.768244,0.816961
12565,10778,0.210061,0.100513,0.363755
12617,10788,0.905935,0.521634,0.775519
12671,10822,0.328368,0.330736,0.202254
12739,10824,0.661842,0.768591,0.249074
12801,10825,0.487278,0.756374,0.56282
12850,10828,0.477933,0.376271,0.246986
12896,10829,0.835593,0.678208,0.462031
12939,10830,0.851786,0.905786,0.812209
13036,10843,0.229961,0.801147,0.555953
13092,10868,0.670729,0.43448,0.684684
13143,10870,0.954196,0.209109,0.696558
13198,10872,0.897993,0.328225,0.40744
13280,10875,0.298575,0.125675,0.36056
13334,10877,0.19184,0.608268,0.261513
13389,10878,0.167145,0.453777,0.364864
13427,10880,0.226847,0.929417,0.523011
13480,10881,0.180937,0.525379,0.139229
13527,10882,0.194253,0.362007,0.119027
13566,10890,0.231179,0.344027,0.570294
13639,10892,0.307617,0.151751,0.322073
13684,10894,0.552344,0.32751,0.0638763
13715,10895,0.40195,0.207537,0.202183
13773,10896,0.777027,0.54131,0.329127
13814,10915,0.259786,0.682528,0.0831772
13861,10916,0.519056,0.451263,0.0748259
13919,10919,0.710134,0.233573,0.294894
13990,10920,0.395743,0.807266,0.262616
14022,10923,0.174248,0.520014,0.253588
14055,10926,0.677002,0.960866,0.852534
14093,10930,0.381116,0.49209,0.0800353
14140,10931,0.745652,0.559142,0.9368
14209,10949,0.832551,0.710833,0.298689
14275,10964,0.128089,0.610059,0.283514
14335,10967,0.549914,0.729741,0.598547
14395,10977,0.272166,0.321201,0.24284
14450,10979,0.763858,0.734295,0.42017
14547,11011,0.231461,0.292518,0.329304
14604,11012,0.741816,0.512373,0.448759
14646,11013,0.131839,0.406809,0.386979
14688,11014,0.130604,0.677338,0.610013
14764,11043,0.922377,0.36951,0.062881
14805,11059,0.401279,0.692948,0.0728314
14850,11060,0.286507,0.890149,0.235298
14925,11062,0.322586,0.833093,0.543294
15064,11093,0.374506,0.772662,0.0889466
15113,11108,0.303938,0.2367,0.242084
15173,11109,0.698933,0.992491,0.569372
15266,11141,0.255658,0.84522,0.235354
15300,11155,0.846089,0.741919,0.255417
15380,11158,0.73885,0.796003,0.292044
15563,11207,0.264464,0.721946,0.558476
15722,11292,0.822608,0.939402,0.241079
15771,11304,0.246721,0.219633,0.320509
15824,11333,0.325688,0.325073,0.230998
15909,11337,0.904577,0.676588,0.306235
15949,11351,0.840935,0.760769,0.18418
16004,11383,0.774425,0.693805,0.929983
16037,11400,0.167251,0.393058,0.426992
16090,11429,0.735962,0.13903,0.25372
16134,11431,0.160265,0.473168,0.333384
16198,11450,0.773112,0.0620176,0.642263
16247,11477,0.489494,0.565338,0.783363
16300,11479,0.851344,0.835317,0.651992
16365,11498,0.404628,0.560464,0.0337503
16411,11512,0.370423,0.51401,0.160824
16526,11514,0.308308,0.660119,0.413462
16655,11547,0.729212,0.245982,0.30994
16698,11548,0.63847,0.167937,0.244997
16749,11549,0.203023,0.845459,0.471611
16784,11550,0.118469,0.470007,0.195531
16846,11551,0.753251,0.543761,0.482264
16935,11562,0.329241,0.664306,0.339427
16989,11573,0.531475,0.580691,0.866513
17049,11575,0.750224,0.901826,0.470492
17099,11590,0.360345,0.211084,0.560166
17168,11595,0.31205,0.722382,0.344276
17209,11596,0.41227,0.2119,0.210132
17252,11600,0.796342,0.622922,0.189186
17301,11601,0.155407,0.435776,0.380545
17339,11602,0.819733,0.650674,0.420916
17382,11603,0.191166,0.809538,0.375597
17419,11605,0.129644,0.588127,0.20748
17475,11607,0.422972,0.638598,0.126285
17528,11623,0.775672,0.717882,0.288419
17572,11648,0.186121,0.450503,0.492562
17628,11649,0.761014,0.572566,0.254743
17681,11653,0.268342,0.623545,0.591896
17746,11654,0.653205,0.827949,0.170178
17779,11668,0.171054,0.287938,0.307028
17815,11694,0.36274,0.084142,0.400315
17891,11696,0.774073,0.541978,0.730484
17958,11701,0.124351,0.362668,0.319582
18015,11702,0.648699,0.948289,0.590883
18068,11715,0.262742,0.647558,0.725044
18188,11749,0.331614,0.31787,0.187464
18247,11750,0.756691,0.39567,0.408532
18300,11761,0.535337,0.953557,0.248845
18445,11799,0.918219,0.628026,0.348926
18479,11800,0.266066,0.0805219,0.444185
18540,11803,0.176853,0.526472,0.635783
18589,11804,0.199356,0.588221,0.65711
18624,11805,0.698857,0.0855424,0.291356
18707,11807,0.360788,0.707579,0.054251
18763,11810,0.170415,0.684451,0.545277
18879,11850,0.870524,0.647851,0.210241
18973,11854,0.357595,0.462399,0.128905
