,ParticleId,Result:0,Result:1,Result:2
2,64,0.500576,0.44791,0.91906
13,154,0.427978,0.445894,0.105464
30,249,0.406,0.537132,0.894195
108,586,0.0342929,0.537269,0.680294
303,1031,0.0486198,0.26427,0.172632
446,1051,0.264645,0.610621,0.280518
508,1099,0.0237419,0.581494,0.609461
567,1124,0.872781,0.32132,0.58295
623,1125,0.916117,0.336649,0.534666
669,1127,0.918942,0.338705,0.612116
709,1128,0.952238,0.696468,0.797997
750,1129,0.921378,0.429337,0.76154
795,1130,0.937408,0.53866,0.803064
832,1131,0.952646,0.616199,0.814689
925,1136,0.539059,0.374178,0.276438
998,1147,0.707198,0.208064,0.519752
1057,1168,0.319092,0.518537,0.867785
1148,1179,0.252942,0.589924,0.61246
1190,1184,0.219706,0.590058,0.446988
1238,1213,0.672376,0.186199,0.634591
1388,1238,0.889839,0.403665,0.757347
1461,1269,0.224087,0.197578,0.406584
1544,1353,0.261504,0.631888,0.226087
1735,1448,0.919919,0.360295,0.350773
1814,1498,0.159357,0.930899,0.369673
1891,1506,0.403681,0.144035,0.727285
1929,1545,0.267571,0.656842,0.457076
2047,1554,0.245328,0.53112,0.650879
2137,1689,0.504904,0.347022,0.127192
2198,1737,0.908672,0.684669,0.870613
2317,1786,0.735853,0.159709,0.47967
2363,1788,0.151006,0.781287,0.262304
2489,1884,0.93803,0.774751,0.850405
2532,1885,0.83611,0.418927,0.291044
2621,1919,0.651592,0.453165,0.8774
2700,1936,0.926746,0.377008,0.40102
2749,1985,0.698883,0.323002,0.38459
2793,1986,0.957531,0.403514,0.703859
2833,1987,0.954787,0.368835,0.652712
3052,2158,0.513325,0.421814,0.821908
3386,2591,0.0963044,0.342955,0.0833597
3561,2643,0.218256,0.459941,0.0115816
3808,2784,0.152556,0.434067,0.0357211
4678,3213,0.171564,0.416894,0.0304379
4753,3216,0.164546,0.441133,0.03011
5559,3411,0.216149,0.456833,0.0126323
5923,3526,0.480342,0.767165,0.196054
5968,3529,0.117712,0.822297,0.0868037
6007,3530,0.115849,0.942222,0.187963
6046,3531,0.101694,0.861834,0.0734509
6092,3532,0.643073,0.783734,0.559815
6134,3535,0.802294,0.635037,0.809206
6173,3536,0.819674,0.729938,0.785659
6229,3570,0.946738,0.819164,0.721447
6278,3571,0.847744,0.332656,0.635837
6319,3574,0.614878,0.590525,0.711377
6370,3575,0.428654,0.165542,0.448522
6431,3576,0.512475,0.164488,0.240084
6490,3580,0.0602741,0.842505,0.480605
6548,3583,0.300554,0.601672,0.589646
6588,3584,0.102233,0.803248,0.054291
6631,3586,0.857859,0.730647,0.78812
6668,3587,0.675825,0.709225,0.213545
6709,3599,0.505071,0.807588,0.373766
