,ParticleId,Result:0,Result:1,Result:2
2,586,0.85196,0.637705,0.435547
5,1036,0.739349,0.672539,0.0346422
8,1037,0.620653,0.895319,0.109016
10,1038,0.795885,0.772773,0.694978
15,1051,0.901669,0.0921218,0.473381
23,1124,0.890784,0.236003,0.698724
39,1128,0.914311,0.795222,0.569569
49,1130,0.882591,0.697342,0.242439
75,1179,0.223016,0.830138,0.234743
107,1184,0.148461,0.84034,0.191396
181,1353,0.491977,0.442228,0.140695
241,1402,0.756502,0.812726,0.39707
318,1553,0.771898,0.821456,0.278936
367,1554,0.200509,0.732753,0.55264
431,1885,0.661729,0.194192,0.424312
472,1919,0.854201,0.846403,0.727659
527,2158,0.146509,0.788345,0.392225
728,3529,0.581661,0.0399423,0.491461
777,3532,0.355886,0.573962,0.068835
816,3571,0.604021,0.331096,0.181102
863,3575,0.295637,0.170308,0.502418
896,3586,0.875103,0.702468,0.289408
1001,3631,0.280463,0.533691,0.286295
1037,3636,0.315746,0.509802,0.148651
1076,3661,0.751004,0.0742484,0.429613
1113,3662,0.827594,0.860285,0.191834
1166,3687,0.852749,0.784927,0.378703
1211,3755,0.529695,0.422145,0.00909667
1301,3850,0.900858,0.631216,0.115947
1352,3898,0.512047,0.824585,0.688946
1409,3900,0.506979,0.879963,0.18309
1428,3945,0.871157,0.744988,0.323749
1466,3948,0.298148,0.529892,0.595332
1528,4041,0.235308,0.837708,0.425379
1572,4043,0.131316,0.749052,0.720427
1653,4293,0.338136,0.61928,0.772025
1709,4393,0.208686,0.700263,0.604853
1748,4417,0.765093,0.86196,0.262881
1809,4437,0.174189,0.501445,0.32887
1852,4453,0.301372,0.560865,0.11334
1883,4456,0.788179,0.0758497,0.397966
1921,4458,0.898906,0.173229,0.431704
1964,4460,0.713177,0.14061,0.729013
2001,4462,0.549273,0.0408716,0.416954
2041,4463,0.710435,0.353417,0.112131
2083,4484,0.0998493,0.260878,0.275995
2155,4490,0.935945,0.198933,0.517311
2354,5924,0.590099,0.203754,0.319139
2392,5925,0.83539,0.127541,0.539953
2432,5926,0.814251,0.879754,0.372737
2466,5928,0.961637,0.73584,0.474787
2511,5929,0.639172,0.414796,0.331235
2558,5932,0.985376,0.423612,0.587873
2602,5970,0.334981,0.426136,0.389075
2638,5977,0.389137,0.257637,0.195942
2688,5983,0.357746,0.596402,0.609288
2726,6016,0.95308,0.635444,0.471734
2746,6017,0.872427,0.743015,0.321723
2772,6019,0.704079,0.701355,0.894292
2863,6061,0.393571,0.650025,0.617002
2901,6063,0.634858,0.837673,0.787557
2932,6072,0.925325,0.217708,0.348437
3001,6136,0.310196,0.831597,0.806294
3047,6205,0.151947,0.460598,0.249834
3120,6346,0.624687,0.886841,0.800748
3172,6434,0.308956,0.920936,0.651508
3212,6481,0.187378,0.562079,0.628271
3259,6482,0.819991,0.670453,0.596477
3355,6529,0.897593,0.519494,0.0893614
3381,6540,0.632093,0.169185,0.239021
3418,6541,0.360957,0.179415,0.528549
3451,6675,0.671726,0.150034,0.502671
3481,6687,0.830565,0.251223,0.146855
3522,6722,0.707244,0.33968,0.459298
3555,6734,0.103703,0.501523,0.237492
3599,6736,0.492428,0.943689,0.344269
3645,6768,0.295858,0.890507,0.204418
3691,6785,0.869099,0.756915,0.459958
3729,6799,0.233761,0.756111,0.368205
3772,6814,0.352613,0.665307,0.859882
3817,6833,0.357178,0.824351,0.664967
3862,6834,0.142435,0.470879,0.379157
3880,6835,0.866384,0.746711,0.312911
3940,6848,0.244603,0.27752,0.273305
3976,6855,0.829025,0.797817,0.516179
4047,6862,0.221211,0.162157,0.295488
4093,6864,0.3178,0.672659,0.553378
4135,6900,0.132579,0.487705,0.389871
4172,6907,0.271379,0.5194,0.0814205
4205,6909,0.940235,0.824341,0.766282
4236,6910,0.686616,0.149732,0.390744
4271,6911,0.390058,0.345581,0.131692
4315,6912,0.264615,0.649563,0.746611
4357,6941,0.925304,0.558066,0.103428
4390,6954,0.89638,0.712844,0.319897
4436,6956,0.224829,0.591801,0.543244
4497,6996,0.261175,0.391842,0.61714
4550,7003,0.107036,0.42028,0.111306
4807,8332,0.538118,0.352224,0.171008
4868,8337,0.865744,0.76801,0.482456
4959,8372,0.572002,0.150963,0.456609
5034,8377,0.954322,0.445895,0.700783
5098,8387,0.851622,0.862903,0.5456
5156,8421,0.275484,0.659074,0.130326
5192,8423,0.219553,0.71011,0.154236
5255,8437,0.256136,0.862046,0.506279
5295,8440,0.939324,0.736111,0.63362
5358,8466,0.209156,0.814978,0.129293
5400,8467,0.815729,0.886422,0.31583
5451,8469,0.771396,0.644176,0.473421
5491,8470,0.467826,0.302829,0.21892
5525,8471,0.117795,0.473322,0.0992252
5556,8472,0.152754,0.321732,0.107736
5615,8489,0.210476,0.600349,0.196263
5651,8490,0.217842,0.719574,0.63861
5693,8491,0.935308,0.713426,0.552778
5724,8492,0.696241,0.0809012,0.403952
5762,8503,0.120102,0.821644,0.227519
5825,8517,0.353125,0.62152,0.0368866
5863,8518,0.771015,0.0476919,0.487788
5902,8519,0.135315,0.619934,0.143629
5987,8545,0.773229,0.688329,0.668813
6054,8594,0.217673,0.874124,0.502789
6067,8595,0.858422,0.748161,0.316966
6103,8606,0.974362,0.560379,0.453981
6146,8645,0.876986,0.71413,0.245505
6193,8690,0.815588,0.671373,0.688699
6236,8693,0.833451,0.853003,0.363616
6277,8738,0.57141,0.924492,0.497724
6314,8739,0.467577,0.639187,0.913201
6350,8845,0.862141,0.740858,0.3216
6402,8883,0.173426,0.477356,0.357386
6437,8930,0.81136,0.817237,0.334767
6478,8931,0.210783,0.640626,0.170134
6518,8989,0.370958,0.396851,0.282492
6557,8990,0.814503,0.914527,0.528451
6592,9000,0.96892,0.559628,0.424013
6632,9027,0.963473,0.36974,0.477264
6664,9074,0.618962,0.149319,0.283037
6707,9075,0.299294,0.428799,0.316063
6735,9088,0.965569,0.19345,0.46992
6818,9147,0.239027,0.432947,0.0830791
6858,9169,0.245669,0.637251,0.172845
6895,9170,0.365177,0.465075,0.149516
6944,9171,0.563234,0.905839,0.223168
6985,9198,0.19063,0.766956,0.510713
7014,9199,0.202599,0.829005,0.231714
7092,9217,0.252033,0.806137,0.742436
7144,9236,0.546382,0.389927,0.129216
7173,9245,0.311816,0.916565,0.682687
7205,9248,0.252535,0.873152,0.708846
7251,9250,0.495241,0.227692,0.300102
7282,9251,0.163363,0.448704,0.0793056
7319,9264,0.208334,0.935442,0.658566
7361,9266,0.396515,0.605194,0.147071
7397,9267,0.183888,0.40833,0.34678
7452,9290,0.207427,0.481976,0.565176
7505,9293,0.293657,0.390361,0.745182
7544,9294,0.544002,0.210272,0.198948
7555,9296,0.205851,0.160649,0.187535
7598,9300,0.288219,0.864816,0.704355
7627,9301,0.291711,0.916301,0.777996
7652,9302,0.663636,0.27785,0.0510711
7708,9314,0.474429,0.492736,0.0958341
7747,9340,0.629188,0.352241,0.0923768
7784,9354,0.268476,0.525086,0.79592
7832,9356,0.656241,0.227061,0.283863
7899,9361,0.55266,0.918754,0.337361
7945,9393,0.356834,0.721059,0.528544
7997,9402,0.894285,0.668961,0.241689
8061,9405,0.679738,0.63301,0.00321226
8095,9407,0.312362,0.781361,0.0675534
8171,9448,0.0864328,0.746187,0.58901
8204,9450,0.910387,0.74141,0.543013
8247,9457,0.345709,0.311474,0.503787
8272,9501,0.694153,0.161934,0.503288
8383,9797,0.111277,0.750633,0.307716
8475,9908,0.817206,0.608168,0.0898139
8516,9956,0.810735,0.551299,0.0317661
8579,10054,0.975272,0.42666,0.591958
8630,10167,0.794381,0.837766,0.207314
8676,10214,0.375728,0.573396,0.258533
8852,10683,0.651946,0.59773,0.0695052
8911,10745,0.927687,0.182304,0.696138
8952,10753,0.344269,0.691117,0.796932
8985,10778,0.244443,0.876505,0.840751
9034,10822,0.376008,0.547567,0.0816197
9071,10824,0.851553,0.753398,0.509174
9125,10825,0.749106,0.535067,0.4572
9162,10828,0.226031,0.748536,0.398076
9201,10829,0.779739,0.904013,0.411097
9303,10843,0.215869,0.309009,0.277788
9351,10868,0.685068,0.678613,0.540597
9410,10872,0.647535,0.902564,0.690351
9451,10875,0.42853,0.219408,0.254433
9477,10877,0.168983,0.605445,0.286205
9515,10878,0.35042,0.0854243,0.358808
9580,10881,0.201859,0.845475,0.548169
9607,10882,0.630626,0.347299,0.0086092
9640,10890,0.306807,0.532027,0.804475
9690,10892,0.352967,0.179573,0.269244
9726,10894,0.855242,0.162573,0.341014
9754,10895,0.955261,0.120106,0.443495
9789,10896,0.792793,0.819983,0.425037
9827,10915,0.337242,0.698373,0.104753
9872,10916,0.296035,0.820013,0.444865
9916,10919,0.238756,0.608668,0.617226
9963,10920,0.407644,0.404693,0.593414
10010,10923,0.0569257,0.637518,0.26419
10064,10930,0.220795,0.801867,0.165259
10113,10931,0.598496,0.436022,0.14564
10129,10949,0.873002,0.750474,0.326288
10181,10964,0.106925,0.22059,0.313687
10229,10967,0.837663,0.574886,0.345052
10287,10977,0.0947082,0.79611,0.227645
10319,10979,0.867187,0.668776,0.220484
10358,11011,0.415409,0.104132,0.303297
10415,11012,0.817143,0.672152,0.414914
10444,11013,0.263353,0.821983,0.850392
10480,11014,0.215839,0.929883,0.324182
10511,11059,0.294941,0.800201,0.567165
10545,11060,0.306763,0.59899,0.631191
10600,11062,0.303187,0.680144,0.200571
10662,11092,0.518627,0.769051,0.312813
10696,11093,0.287142,0.824017,0.549577
10727,11108,0.390781,0.532938,0.070362
10782,11141,0.140183,0.543151,0.513597
10805,11155,0.856181,0.805713,0.363592
10855,11158,0.793212,0.872008,0.371826
10918,11207,0.106266,0.562106,0.218989
11013,11304,0.290386,0.186122,0.309026
11045,11333,0.488527,0.407754,0.105026
11074,11337,0.910214,0.665238,0.324971
11103,11351,0.969653,0.600725,0.525643
11157,11383,0.582772,0.746041,0.741632
11204,11400,0.273323,0.307401,0.443416
11231,11429,0.672653,0.228924,0.289637
11266,11431,0.56971,0.0241263,0.503574
11317,11450,0.400171,0.730699,0.920005
11364,11477,0.508829,0.230629,0.456941
11412,11498,0.910513,0.164451,0.382879
11448,11512,0.216816,0.399257,0.204831
11573,11547,0.30501,0.683037,0.619635
11609,11548,0.199264,0.639306,0.0967888
11649,11549,0.199654,0.604079,0.670979
11685,11550,0.215119,0.866393,0.0952154
11726,11551,0.739123,0.84163,0.310766
11819,11573,0.363559,0.54991,0.7196
11869,11590,0.536693,0.172038,0.397112
11910,11596,0.829924,0.160095,0.246592
11944,11600,0.920086,0.737807,0.638074
11979,11601,0.286131,0.285704,0.333643
12007,11602,0.924337,0.586216,0.339185
12041,11603,0.167023,0.199228,0.318894
12077,11605,0.181828,0.767847,0.73001
12115,11607,0.361076,0.411828,0.289751
12145,11623,0.871128,0.710881,0.30935
12192,11648,0.373856,0.336681,0.193133
12220,11649,0.781854,0.85006,0.372826
12261,11653,0.103847,0.539013,0.202952
12333,11668,0.297781,0.266174,0.346818
12368,11694,0.286976,0.22805,0.446266
12414,11696,0.615939,0.902039,0.613113
12451,11701,0.250451,0.786978,0.860895
12485,11702,0.587773,0.565137,0.87838
12522,11715,0.38261,0.443724,0.185077
12629,11749,0.630577,0.280598,0.111747
12694,11750,0.750038,0.61191,0.204544
12719,11761,0.890391,0.517829,0.85698
12777,11799,0.825341,0.880761,0.425605
12838,11803,0.308849,0.85931,0.820766
12888,11804,0.290806,0.324205,0.420413
12925,11805,0.648769,0.142787,0.377097
12970,11807,0.478418,0.505146,0.069311
13019,11810,0.193769,0.241755,0.294977
13095,11850,0.935919,0.679189,0.549157
13143,11854,0.0986485,0.244869,0.261477
13194,11855,0.670103,0.816444,0.794654
13241,11953,0.983437,0.612336,0.60019
13348,12101,0.313962,0.143547,0.232626
13390,12151,0.115576,0.528364,0.307714
13452,12196,0.707513,0.156138,0.664786
13601,12297,0.0709914,0.738003,0.360186
13657,12346,0.86225,0.589984,0.280769
13792,12536,0.112107,0.709315,0.43895
13911,12682,0.259253,0.862391,0.325723
14000,13015,0.872856,0.767921,0.33231
14065,13087,0.232448,0.342998,0.654859
