,ParticleId,Result:0,Result:1,Result:2
1,154,0.958269,0.538091,0.437534
4,586,0.802185,0.556798,0.375891
10,1036,0.573619,0.9164,0.329285
20,1037,0.655663,0.894078,0.591027
36,1038,0.758304,0.739619,0.658634
48,1051,0.0933584,0.398163,0.231404
66,1124,0.413467,0.618084,0.881525
87,1128,0.884662,0.861615,0.314281
118,1130,0.852456,0.790121,0.305313
170,1179,0.20108,0.352536,0.441022
196,1184,0.316729,0.0728572,0.279243
280,1353,0.26616,0.629207,0.76472
331,1402,0.690487,0.783575,0.424503
409,1553,0.720491,0.794422,0.36442
453,1554,0.26984,0.800624,0.481579
501,1885,0.308025,0.895963,0.287928
544,1919,0.893844,0.673305,0.620405
641,2158,0.264801,0.739213,0.668758
812,3529,0.170922,0.453669,0.0899168
844,3532,0.216233,0.108895,0.269626
882,3571,0.299163,0.666432,0.794173
927,3575,0.219749,0.856731,0.0994223
968,3586,0.83331,0.733661,0.264721
1037,3614,0.548676,0.99227,0.358942
1092,3631,0.245091,0.693093,0.424671
1132,3636,0.468243,0.389609,0.189711
1174,3661,0.119333,0.472637,0.175089
1216,3662,0.926697,0.606455,0.287283
1306,3687,0.855617,0.703422,0.355263
1335,3755,0.664214,0.0467808,0.474891
1426,3850,0.9355,0.574764,0.363478
1453,3898,0.67709,0.526628,0.831125
1489,3900,0.671623,0.741812,0.867311
1511,3945,0.852168,0.726313,0.309833
1555,3948,0.550782,0.162429,0.448441
1635,4041,0.260348,0.249956,0.410018
1674,4043,0.528868,0.108162,0.248651
1707,4081,0.239207,0.07777,0.368693
1795,4293,0.765293,0.208672,0.548638
1857,4393,0.283697,0.73338,0.623185
1914,4417,0.835346,0.659688,0.458394
1981,4437,0.20744,0.546343,0.449664
2068,4453,0.266927,0.847238,0.256792
2097,4456,0.170295,0.302888,0.129742
2131,4458,0.289061,0.624359,0.831192
2169,4460,0.405553,0.848567,0.880082
2204,4462,0.280569,0.288512,0.151049
2238,4463,0.371943,0.447008,0.77206
2275,4484,0.292025,0.26319,0.294704
2367,4490,0.315038,0.523322,0.809843
2626,5924,0.234734,0.888882,0.392078
2658,5925,0.220912,0.778777,0.821042
2705,5926,0.88426,0.63878,0.210478
2763,5929,0.544176,0.66445,0.838426
2825,5932,0.828195,0.447902,0.133537
2902,5970,0.455815,0.249439,0.373451
2943,5977,0.243628,0.763009,0.133291
3009,5983,0.36861,0.285911,0.441047
3064,5989,0.397983,0.754289,0.366858
3114,6016,0.884138,0.830823,0.345163
3138,6017,0.853457,0.725784,0.306699
3174,6019,0.714313,0.872073,0.923369
3258,6048,0.937715,0.48005,0.922142
3304,6061,0.349856,0.306903,0.472184
3346,6063,0.906936,0.404689,0.641368
3381,6072,0.308416,0.45302,0.763036
3451,6091,0.872313,0.492784,0.169239
3480,6136,0.814654,0.146411,0.471471
3530,6145,0.950015,0.785392,0.780727
3590,6205,0.19216,0.499677,0.312373
3689,6300,0.90287,0.809747,0.571872
3726,6346,0.951444,0.340335,0.584402
3768,6434,0.828568,0.162653,0.580613
3808,6481,0.522993,0.178027,0.284946
3859,6482,0.561542,0.793222,0.220055
3914,6492,0.942112,0.507162,0.419062
3976,6529,0.821427,0.557496,0.142433
4004,6540,0.162914,0.34253,0.187727
