,ParticleId,Result:0,Result:1,Result:2
1,64,0.24928,0.829233,0.571772
7,154,0.346524,0.753438,0.683806
40,249,0.261561,0.84452,0.603969
153,586,0.255661,0.795584,0.408398
865,1051,0.899081,0.825349,0.218263
992,1099,0.139925,0.528677,0.10589
1041,1123,0.0555219,0.230835,0.36085
1083,1124,0.270828,0.927594,0.806857
1126,1125,0.347151,0.890271,0.875348
1172,1127,0.344756,0.863242,0.906625
1222,1128,0.172625,0.948776,0.776047
1261,1129,0.284219,0.921431,0.864518
1300,1130,0.261538,0.925237,0.871444
1337,1131,0.24118,0.934269,0.860294
1385,1132,0.0246364,0.76519,0.718255
1431,1135,0.0318549,0.693414,0.688327
1473,1136,0.857081,0.459207,0.138333
1564,1147,0.458963,0.84551,0.649883
1665,1168,0.421717,0.762169,0.76202
1702,1169,0.0806213,0.89238,0.70152
1743,1170,0.0475503,0.845197,0.705434
1851,1179,0.538715,0.941752,0.465474
1900,1180,0.0543599,0.381032,0.250539
1955,1182,0.348073,0.142168,0.0780388
2009,1183,0.0538315,0.145883,0.352245
2060,1184,0.887944,0.858205,0.248247
2138,1213,0.515181,0.646936,0.900631
2172,1215,0.703143,0.387308,0.00520471
2300,1230,0.919794,0.757506,0.11645
2347,1231,0.0901922,0.0878528,0.256229
2449,1234,0.233912,0.484184,0.0361479
2492,1235,0.250297,0.69314,0.0224868
2524,1238,0.246136,0.92437,0.839264
2691,1269,0.421579,0.855061,0.52108
2770,1289,0.0228015,0.710042,0.563272
2810,1296,0.441556,0.843377,0.944837
2867,1307,0.136121,0.948368,0.788289
2892,1309,0.627237,0.28954,0.0110611
2966,1353,0.726095,0.238714,0.371546
3006,1356,0.917274,0.683877,0.0722414
3077,1392,0.0535172,0.302895,0.308775
3137,1401,0.0919014,0.907819,0.697941
3196,1403,0.624355,0.960242,0.401148
3357,1448,0.30268,0.230303,0.158368
3396,1451,0.950572,0.848354,0.168817
3461,1488,0.0236081,0.690044,0.573409
3506,1497,0.295557,0.889868,0.318732
3554,1498,0.867623,0.94601,0.276536
3587,1499,0.727522,0.404836,0.015534
3652,1506,0.471869,0.812706,0.543475
3692,1545,0.715146,0.388346,0.889237
3725,1546,0.914727,0.688201,0.0728163
3753,1547,0.350223,0.0627066,0.0807208
3838,1554,0.393112,0.875058,0.58918
3878,1584,0.0206645,0.599045,0.570462
3957,1595,0.277836,0.0610968,0.0840104
4145,1689,0.613298,0.329393,0.232218
4187,1690,0.0872327,0.91854,0.779815
4257,1692,0.953672,0.848133,0.1653
4311,1728,0.0947264,0.258513,0.182609
4354,1737,0.601464,0.269443,0.124972
4382,1740,0.643296,0.301489,0.0164757
4484,1786,0.734448,0.333083,0.697953
4531,1788,0.768446,0.951401,0.348766
4611,1834,0.370223,0.92169,0.358655
4654,1837,0.0102332,0.735307,0.716289
4700,1884,0.467522,0.281649,0.100323
4736,1885,0.439698,0.754173,0.931009
4777,1886,0.587592,0.58739,0.903988
4823,1919,0.662178,0.554163,0.0966595
4865,1933,0.124026,0.416589,0.399526
4908,1934,0.0944644,0.12928,0.276256
4947,1936,0.474836,0.727655,0.941192
5027,1985,0.649462,0.485374,0.90665
5065,1986,0.368822,0.883622,0.902965
5097,1987,0.401445,0.845339,0.921167
5184,2037,0.157144,0.0895881,0.179185
5270,2104,0.490896,0.108106,0.0510948
5317,2107,0.0399441,0.846222,0.571817
4707,2158,0.428715,0.84299,0.644196
189,2882,0.227214,0.377812,0.00438772
453,2978,0.238922,0.39477,0.00151831
2291,3525,0.166264,0.104118,0.211736
2348,3526,0.518407,0.576072,0.828081
2395,3529,0.871189,0.732374,0.143246
2437,3530,0.827404,0.597959,0.0707217
2476,3531,0.863523,0.697328,0.123532
2519,3532,0.883431,0.464989,0.137321
2562,3535,0.0766662,0.826984,0.708172
2599,3536,0.0537818,0.694515,0.687489
142,3537,0.3053,0.105613,0.136736
183,3550,0.460014,0.183084,0.0826063
254,3570,0.0436369,0.763386,0.706157
302,3571,0.222518,0.932872,0.763803
360,3572,0.14225,0.0979316,0.201799
414,3574,0.782742,0.926906,0.425097
479,3575,0.655269,0.876693,0.39317
535,3576,0.59503,0.873362,0.442139
644,3579,0.069028,0.394505,0.262196
698,3580,0.0888977,0.511315,0.254589
755,3583,0.87151,0.609422,0.135697
799,3584,0.875193,0.820557,0.200836
844,3586,0.0586356,0.784592,0.703893
883,3587,0.883625,0.313744,0.189493
925,3599,0.876422,0.840881,0.292579
976,3614,0.362654,0.789632,0.823004
1035,3615,0.593899,0.506408,0.84576
1071,3616,0.229674,0.933306,0.791607
1143,3630,0.511051,0.885157,0.47605
1197,3631,0.0878235,0.606609,0.272379
1239,3632,0.151574,0.358474,0.231678
1282,3634,0.869175,0.686854,0.13251
1324,3636,0.855526,0.601493,0.154189
1366,3637,0.497369,0.210463,0.0956045
1417,3648,0.669678,0.396356,0.0620452
1464,3661,0.546126,0.579224,0.863265
1515,3662,0.0175695,0.302597,0.530651
1590,3671,0.147296,0.473107,0.115978
1633,3672,0.0879018,0.452348,0.213271
1676,3673,0.790666,0.935751,0.343202
1722,3674,0.207536,0.58225,0.0949219
1780,3675,0.0983059,0.381902,0.166228
1842,3678,0.542948,0.906584,0.418155
1904,3679,0.0761181,0.853818,0.360768
1952,3680,0.023565,0.376175,0.420174
1997,3681,0.0773907,0.522682,0.279957
2030,3682,0.105343,0.569323,0.191155
2086,3683,0.0876694,0.657048,0.299075
2141,3684,0.162147,0.274976,0.0460211
2186,3687,0.0514345,0.726174,0.700776
2227,3690,0.0349818,0.354709,0.554224
2315,3724,0.845082,0.928531,0.389521
2378,3755,0.796723,0.239489,0.574237
2442,3762,0.487497,0.911857,0.458897
2487,3763,0.17057,0.405167,0.0761952
2533,3764,0.0173346,0.442709,0.468273
2578,3793,0.494171,0.202441,0.0951935
2617,3803,0.331566,0.868767,0.871962
2700,3812,0.788635,0.835008,0.393538
2750,3813,0.56916,0.80238,0.968039
2788,3849,0.0725682,0.549506,0.57004
2826,3850,0.0457527,0.771671,0.711663
2884,3860,0.882491,0.888994,0.268693
2917,3889,0.072783,0.907984,0.603249
2957,3897,0.501332,0.223356,0.12236
3010,3898,0.658115,0.24604,0.25257
3059,3900,0.881862,0.468727,0.117203
3113,3910,0.0807425,0.274025,0.191488
3155,3937,0.83753,0.874522,0.329456
3201,3945,0.740074,0.236717,0.189353
3247,3948,0.911161,0.736178,0.199328
3301,3985,0.118742,0.952932,0.610254
3347,3993,0.56095,0.239432,0.13075
3394,3995,0.485397,0.682186,0.759103
3431,3996,0.898406,0.732562,0.167708
3489,4033,0.0450807,0.60688,0.677835
3540,4041,0.309982,0.88992,0.666653
3577,4042,0.129873,0.0989146,0.227626
3621,4043,0.78403,0.90196,0.327961
3657,4044,0.893898,0.710186,0.155488
3737,4080,0.0392592,0.581997,0.455225
3776,4081,0.873069,0.268449,0.223654
3810,4091,0.356897,0.848378,0.879605
3883,4138,0.834318,0.164942,0.419263
3922,4140,0.869833,0.539915,0.121187
3961,4141,0.899153,0.746763,0.186604
4036,4144,0.547211,0.880025,0.58278
4075,4193,0.591467,0.961404,0.442952
4121,4223,0.152525,0.905392,0.141188
4155,4225,0.314335,0.123194,0.116049
4190,4235,0.0981444,0.288725,0.394708
4235,4238,0.903497,0.427038,0.131093
4286,4271,0.178975,0.817352,0.126749
4329,4273,0.683225,0.899322,0.40846
4364,4284,0.0722801,0.587668,0.599594
4406,4286,0.467082,0.719728,0.855618
4443,4287,0.81421,0.891474,0.293328
4485,4293,0.539083,0.87749,0.578222
4540,4320,0.111361,0.381108,0.149619
4583,4336,0.22392,0.929723,0.809989
4663,4367,0.096873,0.815522,0.328978
4730,4369,0.669226,0.898496,0.419629
4802,4385,0.369864,0.850896,0.864723
4840,4386,0.099708,0.101672,0.262009
4895,4393,0.440779,0.891488,0.542165
4942,4414,0.170995,0.803745,0.145604
4985,4417,0.170136,0.123612,0.258997
5045,4435,0.292154,0.884762,0.84375
5080,4436,0.238702,0.931932,0.784353
5114,4437,0.270058,0.921794,0.813725
5158,4438,0.217781,0.0993349,0.13783
5200,4446,0.790737,0.895293,0.319737
5243,4453,0.568701,0.913481,0.473522
5307,4456,0.335378,0.821479,0.83875
5361,4457,0.398909,0.177129,0.107544
5401,4458,0.0562862,0.641073,0.681101
5437,4459,0.173353,0.110964,0.197905
5491,4460,0.0806573,0.821082,0.725404
5527,4461,0.481093,0.212672,0.0892554
5583,4462,0.168186,0.845509,0.805407
5619,4463,0.730814,0.318631,0.118895
5656,4484,0.310333,0.895221,0.612445
5709,4485,0.910725,0.338872,0.599896
5743,4486,0.398737,0.153253,0.115662
5777,4488,0.414113,0.766629,0.847805
5818,4489,0.875064,0.754884,0.206681
5868,4490,0.160719,0.905312,0.805443
5909,4491,0.0581859,0.809476,0.741218
5950,4492,0.341657,0.132022,0.0969631
5989,4494,0.243721,0.896004,0.832105
6041,4495,0.494501,0.605362,0.824337
6089,4497,0.605368,0.410104,0.952525
6127,4498,0.584676,0.231715,0.132713
1673,5415,0.0042995,0.36342,0.36556
2294,5924,0.688083,0.282028,0.903761
2341,5925,0.864516,0.139414,0.59524
2380,5926,0.252831,0.113639,0.195405
2430,5927,0.197359,0.102872,0.211224
2468,5928,0.905955,0.117243,0.761229
