,ParticleId,Result:0,Result:1,Result:2
8,64,0.764038,0.578803,0.135501
59,154,0.75597,0.687368,0.201984
203,586,0.495483,0.670673,0.236132
306,1036,0.621034,0.652211,0.989918
346,1037,0.561163,0.582439,0.980452
373,1038,0.566474,0.537364,0.972031
416,1051,0.570655,0.286473,0.192437
466,1124,0.589025,0.106621,0.25394
529,1130,0.842591,0.641967,0.280281
582,1136,0.726615,0.907777,0.541441
634,1147,0.701762,0.890758,0.353581
695,1179,0.272004,0.694075,0.448355
737,1184,0.362083,0.749765,0.264199
785,1213,0.71849,0.535652,0.176521
866,1353,0.230585,0.203121,0.434197
902,1402,0.579261,0.424387,0.803413
1073,1553,0.65677,0.387168,0.184634
1116,1554,0.299641,0.88513,0.28422
1171,1788,0.838239,0.950619,0.274905
1211,1885,0.240985,0.10233,0.529295
1251,1919,0.565753,0.802055,0.779687
1312,1985,0.598096,0.382731,0.762552
1391,2158,0.166385,0.683368,0.395706
1693,3526,0.767012,0.696766,0.0577642
1744,3529,0.32683,0.680711,0.315247
1800,3532,0.443617,0.514559,0.159591
1838,3571,0.607158,0.0404984,0.652458
1879,3574,0.788242,0.711743,0.782175
1928,3575,0.291396,0.624427,0.203509
1985,3586,0.719091,0.678623,0.496632
2033,3587,0.759667,0.312127,0.120808
2074,3599,0.155729,0.843893,0.233696
2134,3614,0.48586,0.838606,0.0742242
2192,3615,0.609874,0.923118,0.711543
2236,3631,0.391906,0.312887,0.616468
2281,3636,0.640272,0.219364,0.152851
2330,3648,0.8867,0.420971,0.830796
2377,3661,0.62674,0.144362,0.608178
2498,3682,0.606053,0.256155,0.75407
2556,3687,0.635034,0.776312,0.336647
2609,3755,0.228291,0.635542,0.515399
2737,3803,0.663848,0.447072,0.0652899
2796,3850,0.880533,0.721234,0.232782
2841,3898,0.203173,0.124556,0.642562
2891,3900,0.288244,0.75431,0.0886642
2930,3945,0.757146,0.662482,0.309428
2969,3948,0.557738,0.374707,0.016031
3035,3995,0.818175,0.881924,0.179892
3093,3996,0.764823,0.865174,0.469524
3185,4041,0.320355,0.384865,0.386473
3238,4043,0.323551,0.809048,0.374772
3275,4081,0.369837,0.720913,0.231827
3314,4091,0.76688,0.685081,0.774925
3358,4138,0.858866,0.896129,0.595553
3407,4140,0.831865,0.377261,0.537012
3447,4141,0.845881,0.0602127,0.741924
3485,4144,0.0978836,0.476809,0.284267
3545,4193,0.595785,0.935016,0.252297
3597,4286,0.388718,0.375904,0.570652
3637,4287,0.712958,0.794694,0.157975
3673,4293,0.256739,0.932366,0.499248
3795,4393,0.231973,0.815941,0.510859
3848,4417,0.524709,0.62281,0.228781
3892,4435,0.938323,0.350419,0.762373
3929,4436,0.604758,0.101243,0.26396
3971,4437,0.786074,0.141794,0.431605
4036,4446,0.632297,0.253365,0.594311
4070,4453,0.207267,0.813619,0.307623
4112,4456,0.567741,0.185354,0.665472
4151,4458,0.324552,0.0889202,0.390056
4189,4460,0.479096,0.0528318,0.438136
4220,4462,0.287118,0.293623,0.537735
4261,4463,0.448776,0.419788,0.0819015
4303,4484,0.213056,0.466575,0.41874
4339,4485,0.469951,0.632935,0.754702
4390,4488,0.865386,0.5145,0.538945
4420,4490,0.569108,0.0663318,0.381222
4457,4494,0.123789,0.234693,0.303382
4501,4495,0.416563,0.545453,0.594578
4559,4497,0.435886,0.602253,0.191322
4873,5924,0.14831,0.620086,0.283825
4909,5925,0.24729,0.456617,0.296148
4949,5926,0.857427,0.651182,0.238183
5023,5929,0.51041,0.36973,0.0506261
5074,5930,0.876911,0.72268,0.613611
5125,5931,0.904276,0.671729,0.748683
5167,5932,0.865023,0.0539869,0.533705
5221,5938,0.54918,0.988069,0.664068
5280,5939,0.549434,0.963983,0.3521
5329,5970,0.425518,0.139548,0.709346
5379,5977,0.417664,0.380477,0.197745
5408,5981,0.3208,0.484502,0.0636505
5459,5983,0.665094,0.0922367,0.747047
5496,5987,0.538351,0.0385112,0.773085
5551,5989,0.61985,0.365381,0.0952436
5658,6017,0.755738,0.681115,0.310106
5693,6019,0.360944,0.620027,0.052376
5755,6024,0.734522,0.632012,0.0218202
5797,6026,0.772445,0.694175,0.773412
5850,6027,0.782271,0.361873,0.257634
5895,6028,0.824685,0.791079,0.0940261
5953,6029,0.889525,0.377744,0.056336
6023,6040,0.638782,0.800618,0.600957
6077,6045,0.42589,0.68048,0.261053
6133,6048,0.514123,0.858012,0.141423
6175,6061,0.750765,0.0760588,0.722178
6212,6063,0.144553,0.773401,0.418471
6247,6072,0.614601,0.115939,0.241883
6308,6087,0.823051,0.550931,0.658118
6362,6090,0.850843,0.493095,0.0628611
6413,6091,0.65336,0.373797,0.0915928
6451,6136,0.282645,0.503238,0.109928
6524,6145,0.635492,0.730832,0.190888
6596,6158,0.502969,0.601805,0.199452
6676,6204,0.625477,0.912109,0.651443
6722,6205,0.345758,0.426926,0.643002
6764,6252,0.268536,0.0972026,0.419523
6828,6300,0.976867,0.598582,0.348966
6909,6346,0.156657,0.803015,0.535336
6964,6434,0.188055,0.562942,0.11517
7014,6481,0.478857,0.114582,0.422429
7056,6482,0.709266,0.0520725,0.760925
7098,6492,0.67558,0.530434,0.705875
7134,6493,0.203369,0.649961,0.102029
7189,6529,0.44652,0.912006,0.157329
7285,6540,0.333503,0.85372,0.552285
7314,6541,0.121161,0.335322,0.287881
7365,6547,0.688691,0.422252,0.620001
7398,6589,0.74853,0.863882,0.72727
7444,6626,0.521518,0.263557,0.0699669
7493,6627,0.770811,0.45728,0.721515
7557,6675,0.298054,0.0583395,0.544063
7587,6687,0.416628,0.0761772,0.386405
7621,6721,0.322406,0.0428983,0.618098
7668,6722,0.571286,0.4555,0.0552467
7703,6734,0.608256,0.155927,0.681804
7742,6736,0.225889,0.892164,0.225472
7793,6763,0.716308,0.269578,0.661949
7825,6768,0.379076,0.718036,0.0343581
7872,6769,0.508616,0.371334,0.679801
7923,6770,0.871112,0.0966477,0.145143
7968,6785,0.670172,0.522345,0.243384
8025,6799,0.242052,0.568027,0.643604
8076,6813,0.149175,0.828004,0.414054
8119,6814,0.141489,0.5985,0.188391
8162,6833,0.883079,0.105866,0.263856
8206,6834,0.261769,0.256825,0.479795
